ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Note
Chaninawa-28_dog-1,,Chaninawa,28_dog,kama,kama,k a m a n,,zariquiey2017,261,,,,0,k a m a n,wild_dog,
Sharanawa-28_dog-1,,Sharanawa,28_dog,paʂda,paʂda,p a ʂ d a,,zariquiey2017,263,,,,0,p a ʂ d a,dod,
Amawaka-28_dog-1,,Amawaka,28_dog,indu,indu,i nd u,,zariquiey2017,265,,,,13,i nd u,jaguar,
Nawa-28_dog-1,,Nawa,28_dog,paʂda,paʂda,p a ʂ d a,,zariquiey2017,263,,,,0,p a ʂ d a,dog,
Marinawa-28_dog-1,,Marinawa,28_dog,ka:ma,ka:ma,k aː m a,,zariquiey2017,261,,,,0,k aː m a -,wild_dog,
Yaminawa-28_dog-1,,Yaminawa,28_dog,paʂta,paʂta,p a ʂ d a,,zariquiey2017,263,,,,0,p a ʂ d a,dog,
Kashinawa_P-28_dog-1,,Kashinawa_P,28_dog,kama,kama,k a m a,,zariquiey2017,261,,,,0,k a m a -,wild_dog,
Kashinawa_B-28_dog-1,,Kashinawa_B,28_dog,kamã,kamã,k a m ã,,camargo1995,261,,,,0,k a m ã -,wild_dog,
Matses-10_bird-1,,Matses,10_bird,wiktʂu,wiktʂu,w i k ʈʂ u n,,fleck2005,84,,,,0,w i k ʈʂ u n,?,
Matis-10_bird-1,,Matis,10_bird,tʃididiʃ,tʃididiʃ,tʃ i d i d i ʃ,,fleck2005,85,,,,0,tʃ i d i d i ʃ,?,
Marubo-10_bird-1,,Marubo,10_bird,ʃai,ʃai,ʃ a i,,fleck2005,16,,,,0,ʃ a i,?,
Shipibo_Konibo-10_bird-1,,Shipibo_Konibo,10_bird,isa,isa,i s a,,fleck2005,77,,,,0,- i s a - -,passerine,
Kapanawa-10_bird-1,,Kapanawa,10_bird,isa,isa,i s a,,loos1998,77,,,,0,- i s a - -,passerine,
Arara-10_bird-1,,Arara,10_bird,duĩda,duĩda,d u + i nd a,,cunha1993,78,,,,0,d u + i nd a,thing domesticated,
