item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
bird              -4.10809 0.004059 0.096574 -4.10619 -4.29764 -3.92205 0        NaN      NaN     
bird              -5.07654 0.003986 0.138027 -5.07232 -5.33897 -4.80448 0        NaN      NaN     
bite              -12.3269 0.009656 0.35323  -12.3282 -13.0047 -11.6369 0        NaN      NaN     
bite              -6.40278 0.006781 0.244561 -6.38416 -6.88717 -5.97124 0        NaN      NaN     
bite              -4.77847 0.004962 0.136934 -4.77176 -5.05134 -4.52020 0        NaN      NaN     
bite              -4.09187 0.004106 0.097074 -4.09050 -4.28276 -3.90703 0        NaN      NaN     
bite              -17.4304 0.013621 0.442184 -17.4263 -18.2773 -16.5609 0        NaN      NaN     
black             -18.4246 0.013947 0.468318 -18.4143 -19.3040 -17.4885 0        NaN      NaN     
black             -25.7982 0.019321 0.551955 -25.7958 -26.8687 -24.6991 0        NaN      NaN     
black             -4.52643 0.003499 0.101309 -4.52214 -4.71547 -4.33153 0        NaN      NaN     
black             -4.75398 0.003664 0.107583 -4.75203 -4.97618 -4.55933 0        NaN      NaN     
black             -5.41325 0.00413  0.145088 -5.41209 -5.69218 -5.14025 0        NaN      NaN     
black             -5.47953 0.006171 0.215863 -5.47105 -5.90206 -5.06221 0        NaN      NaN     
black             -8.23761 0.011594 0.483084 -8.33319 -8.94878 -6.93270 0        NaN      NaN     
blood             -5.45449 0.006527 0.240075 -5.43986 -5.95939 -5.02792 0        NaN      NaN     
blow_wind         -9.94418 0.009033 0.265655 -9.95261 -10.4692 -9.44306 0        NaN      NaN     
blow_wind         -4.58797 0.003934 0.102344 -4.58383 -4.77909 -4.38333 0        NaN      NaN     
blow_wind         -4.96480 0.003855 0.13019  -4.96038 -5.22761 -4.72530 0        NaN      NaN     
blow_wind         -4.07615 0.00416  0.09796  -4.07422 -4.26680 -3.88835 0        NaN      NaN     
blow_wind         -4.76683 0.005003 0.137605 -4.76022 -5.02206 -4.48859 0        NaN      NaN     
bone              -4.50977 0.003784 0.105253 -4.50839 -4.69802 -4.29792 0        NaN      NaN     
bone              -4.63018 0.003512 0.10475  -4.62598 -4.82077 -4.42311 0        NaN      NaN     
bone              -7.26862 0.006515 0.190466 -7.26469 -7.63827 -6.90695 0        NaN      NaN     
breathe           -15.1319 0.011257 0.360093 -15.1310 -15.8834 -14.4538 0        NaN      NaN     
breathe           -12.2837 0.012019 0.469456 -12.2691 -13.2495 -11.4614 0        NaN      NaN     
breathe           -5.58801 0.004934 0.146436 -5.58715 -5.85179 -5.29339 0        NaN      NaN     
breathe           -5.70568 0.005146 0.160572 -5.70337 -6.03459 -5.40666 0        NaN      NaN     
breathe           -4.90627 0.004236 0.130646 -4.90462 -5.15026 -4.63926 0        NaN      NaN     
breathe           -4.96775 0.004243 0.130345 -4.96564 -5.21077 -4.70731 0        NaN      NaN     
breathe           -4.44937 0.00399  0.108083 -4.44742 -4.64886 -4.23419 0        NaN      NaN     
breathe           -4.40153 0.00371  0.095906 -4.39669 -4.59754 -4.22735 0        NaN      NaN     
breathe           -5.47588 0.004001 0.144648 -5.47227 -5.76538 -5.20069 0        NaN      NaN     
burn_tr_v         -5.78110 0.005036 0.18105  -5.77118 -6.14133 -5.42970 0        NaN      NaN     
burn_tr_v         -5.50659 0.003944 0.144134 -5.50237 -5.78789 -5.22839 0        NaN      NaN     
burn_tr_v         -7.41142 0.009636 0.311367 -7.45555 -7.98900 -6.77408 0        NaN      NaN     
burn_tr_v         -15.6564 0.009791 0.369911 -15.6530 -16.3742 -14.9818 0        NaN      NaN     
burn_tr_v         -9.88538 0.007836 0.223377 -9.87813 -10.3053 -9.43604 0        NaN      NaN     
burn_tr_v         -4.42813 0.003616 0.094459 -4.42403 -4.61711 -4.25167 0        NaN      NaN     
burn_tr_v         -4.47595 0.003896 0.10675  -4.47464 -4.68255 -4.27316 0        NaN      NaN     
burn_tr_v         -4.59385 0.003627 0.106331 -4.59021 -4.78737 -4.38374 0        NaN      NaN     
burn_tr_v         -4.42813 0.003616 0.094459 -4.42403 -4.61711 -4.25167 0        NaN      NaN     
child             -4.70135 0.003864 0.110084 -4.69917 -4.93229 -4.50389 0        NaN      NaN     
child             -10.3508 0.007333 0.22841  -10.3460 -10.8228 -9.93014 0        NaN      NaN     
child             -4.45625 0.003643 0.10187  -4.45073 -4.65748 -4.27025 0        NaN      NaN     
child             -4.84433 0.004543 0.140954 -4.84233 -5.12895 -4.58017 0        NaN      NaN     
cloud             -4.76535 0.005023 0.137999 -4.75888 -5.04194 -4.50802 0        NaN      NaN     
cloud             -17.0196 0.019591 0.810481 -16.8753 -18.9531 -15.7542 0        NaN      NaN     
cloud             -12.3299 0.011899 0.456659 -12.2868 -13.3135 -11.5678 0        NaN      NaN     
cloud             -5.4288  0.006241 0.2164   -5.42138 -5.85657 -5.01153 0        NaN      NaN     
cold_weather      -10.9853 0.009667 0.314478 -10.9899 -11.6275 -10.4170 0        NaN      NaN     
cold_weather      -14.4976 0.013681 0.436114 -14.5025 -15.3411 -13.6678 0        NaN      NaN     
cold_weather      -4.49302 0.003837 0.105937 -4.49136 -4.69602 -4.29155 0        NaN      NaN     
cold_weather      -4.44541 0.003558 0.093612 -4.44144 -4.63429 -4.2719  0        NaN      NaN     
come              -7.21849 0.006512 0.189449 -7.21273 -7.58190 -6.85630 0        NaN      NaN     
come              -4.79048 0.004928 0.136496 -4.78413 -5.04663 -4.51747 0        NaN      NaN     
come              -4.88193 0.004423 0.139897 -4.87935 -5.16518 -4.62063 0        NaN      NaN     
count_verb        -15.1176 0.010105 0.348218 -15.1148 -15.7228 -14.3863 0        NaN      NaN     
count_verb        -5.19006 0.003788 0.134401 -5.18382 -5.46850 -4.94706 0        NaN      NaN     
count_verb        -4.80122 0.004566 0.134833 -4.79948 -5.05673 -4.53640 0        NaN      NaN     
count_verb        -4.29383 0.004068 0.101564 -4.28857 -4.50113 -4.10883 0        NaN      NaN     
count_verb        -4.54954 0.004075 0.11161  -4.54519 -4.76745 -4.33325 0        NaN      NaN     
count_verb        -4.33043 0.003991 0.105509 -4.32540 -4.52938 -4.12816 0        NaN      NaN     
count_verb        -5.36509 0.004248 0.147307 -5.36132 -5.64335 -5.07360 0        NaN      NaN     
count_verb        -5.25528 0.004383 0.139145 -5.2522  -5.52679 -4.98894 0        NaN      NaN     
cut_verb          -16.7167 0.011498 0.397331 -16.7178 -17.5174 -15.9485 0        NaN      NaN     
cut_verb          -4.78431 0.004942 0.136585 -4.77739 -5.05676 -4.52653 0        NaN      NaN     
cut_verb          -4.43661 0.003591 0.094049 -4.43257 -4.62775 -4.26322 0        NaN      NaN     
cut_verb          -4.43661 0.003591 0.094049 -4.43257 -4.62775 -4.26322 0        NaN      NaN     
cut_verb          -5.91064 0.005331 0.200633 -5.90992 -6.29487 -5.52174 0        NaN      NaN     
cut_verb          -4.82876 0.004096 0.130409 -4.82425 -5.09156 -4.58163 0        NaN      NaN     
cut_verb          -4.09934 0.004086 0.096695 -4.09739 -4.29012 -3.91433 0        NaN      NaN     
cut_verb          -4.94388 0.004137 0.129532 -4.94196 -5.19638 -4.69116 0        NaN      NaN     
cut_verb          -4.86204 0.003671 0.107984 -4.86162 -5.07394 -4.64867 0        NaN      NaN     
cut_verb          -4.43661 0.003591 0.094049 -4.43257 -4.62775 -4.26322 0        NaN      NaN     
day_daytime       -21.6367 0.016679 0.491628 -21.6317 -22.5592 -20.6639 0        NaN      NaN     
day_daytime       -9.83687 0.009703 0.331934 -9.87256 -10.4498 -9.27639 0        NaN      NaN     
day_daytime       -11.8449 0.008609 0.318847 -11.8416 -12.4747 -11.2362 0        NaN      NaN     
day_daytime       -15.3108 0.014048 0.51985  -15.3503 -16.2426 -14.1577 0        NaN      NaN     
day_daytime       -4.94762 0.00424  0.143501 -4.94780 -5.21299 -4.65946 0        NaN      NaN     
day_daytime       -4.10809 0.004059 0.096574 -4.10619 -4.29764 -3.92205 0        NaN      NaN     
day_daytime       -5.07654 0.003986 0.138027 -5.07232 -5.33897 -4.80448 0        NaN      NaN     
day_daytime       -4.88193 0.004423 0.139897 -4.87935 -5.16518 -4.62063 0        NaN      NaN     
die               -15.6457 0.01187  0.376254 -15.6414 -16.4440 -14.9720 0        NaN      NaN     
die               -10.3239 0.009023 0.241087 -10.3238 -10.8238 -9.89380 0        NaN      NaN     
