item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
bird              -4.19760 0.003187 0.091925 -4.19657 -4.38547 -4.02394 0        NaN      NaN     
bird              -4.99438 0.003252 0.105817 -4.99170 -5.21065 -4.80121 0        NaN      NaN     
bite              -12.3420 0.008425 0.287084 -12.3489 -12.9089 -11.7878 0        NaN      NaN     
bite              -6.41680 0.005875 0.226028 -6.40501 -6.88233 -5.99884 0        NaN      NaN     
bite              -4.79551 0.005295 0.139597 -4.79181 -5.07127 -4.54385 0        NaN      NaN     
bite              -4.17883 0.003245 0.092858 -4.17764 -4.37484 -4.00868 0        NaN      NaN     
bite              -17.3479 0.013311 0.398084 -17.3442 -18.1399 -16.5914 0        NaN      NaN     
black             -19.0026 0.010152 0.347797 -19.0034 -19.6759 -18.3401 0        NaN      NaN     
black             -25.2444 0.013893 0.445775 -25.2321 -26.1350 -24.4450 0        NaN      NaN     
black             -4.47833 0.00262  0.078925 -4.47790 -4.64591 -4.33672 0        NaN      NaN     
black             -4.74014 0.002729 0.076289 -4.73778 -4.89173 -4.59841 0        NaN      NaN     
black             -5.24663 0.002946 0.096175 -5.24455 -5.44449 -5.07209 0        NaN      NaN     
black             -5.41111 0.004208 0.154207 -5.40395 -5.72387 -5.12707 0        NaN      NaN     
black             -8.23548 0.005638 0.2193   -8.22587 -8.67337 -7.84510 0        NaN      NaN     
blood             -5.46992 0.006034 0.230768 -5.46433 -5.92473 -5.02164 0        NaN      NaN     
blow_wind         -9.81198 0.008614 0.22453  -9.80987 -10.2786 -9.40829 0        NaN      NaN     
blow_wind         -4.63509 0.002815 0.079636 -4.63401 -4.79356 -4.48387 0        NaN      NaN     
blow_wind         -4.89567 0.003388 0.107967 -4.89381 -5.10027 -4.68133 0        NaN      NaN     
blow_wind         -4.16378 0.003292 0.093693 -4.16233 -4.36710 -3.99738 0        NaN      NaN     
blow_wind         -4.78449 0.005333 0.140112 -4.78061 -5.06050 -4.53042 0        NaN      NaN     
bone              -4.61351 0.003078 0.092866 -4.61445 -4.80756 -4.44194 0        NaN      NaN     
bone              -4.61351 0.003078 0.092866 -4.61445 -4.80756 -4.44194 0        NaN      NaN     
bone              -7.39400 0.006641 0.208626 -7.38352 -7.79753 -6.98126 0        NaN      NaN     
breathe           -15.2978 0.007401 0.255191 -15.2960 -15.7921 -14.7774 0        NaN      NaN     
breathe           -12.5980 0.01067  0.386999 -12.5894 -13.3219 -11.8678 0        NaN      NaN     
breathe           -6.14461 0.003307 0.104706 -6.13741 -6.34294 -5.94078 0        NaN      NaN     
breathe           -6.14461 0.003307 0.104706 -6.13741 -6.34294 -5.94078 0        NaN      NaN     
breathe           -4.98155 0.003612 0.107538 -4.98101 -5.20874 -4.79101 0        NaN      NaN     
breathe           -4.98155 0.003612 0.107538 -4.98101 -5.20874 -4.79101 0        NaN      NaN     
breathe           -4.55158 0.003279 0.096504 -4.55094 -4.75159 -4.37309 0        NaN      NaN     
breathe           -4.43101 0.002945 0.080963 -4.42928 -4.60074 -4.28743 0        NaN      NaN     
breathe           -5.10425 0.002986 0.08811  -5.10275 -5.27455 -4.93300 0        NaN      NaN     
burn_tr_v         -5.76423 0.004158 0.151584 -5.75881 -6.06928 -5.47089 0        NaN      NaN     
burn_tr_v         -5.13232 0.002895 0.086345 -5.13027 -5.29605 -4.96176 0        NaN      NaN     
burn_tr_v         -7.63082 0.006435 0.192285 -7.63023 -7.98722 -7.24561 0        NaN      NaN     
burn_tr_v         -15.3972 0.007648 0.285435 -15.4015 -15.9430 -14.8342 0        NaN      NaN     
burn_tr_v         -9.44835 0.006508 0.172803 -9.44122 -9.7599  -9.10732 0        NaN      NaN     
burn_tr_v         -4.45649 0.002858 0.079206 -4.45439 -4.61983 -4.31289 0        NaN      NaN     
burn_tr_v         -4.57747 0.003192 0.094944 -4.57825 -4.77305 -4.40044 0        NaN      NaN     
burn_tr_v         -4.57747 0.003192 0.094944 -4.57825 -4.77305 -4.40044 0        NaN      NaN     
burn_tr_v         -4.45649 0.002858 0.079206 -4.45439 -4.61983 -4.31289 0        NaN      NaN     
child             -4.69275 0.002902 0.079693 -4.68978 -4.84389 -4.53823 0        NaN      NaN     
child             -10.2565 0.004916 0.144955 -10.2567 -10.5222 -9.95938 0        NaN      NaN     
child             -4.42477 0.0028   0.083563 -4.42394 -4.59509 -4.26541 0        NaN      NaN     
child             -4.92687 0.003201 0.09997  -4.92569 -5.11569 -4.72851 0        NaN      NaN     
cloud             -4.78493 0.005339 0.140377 -4.78122 -5.06142 -4.53035 0        NaN      NaN     
cloud             -16.5432 0.013111 0.520011 -16.4967 -17.5041 -15.5282 0        NaN      NaN     
cloud             -12.2471 0.011819 0.441373 -12.2064 -13.1298 -11.4962 0        NaN      NaN     
cloud             -5.36292 0.004304 0.155894 -5.35619 -5.67752 -5.0711  0        NaN      NaN     
cold_weather      -10.5714 0.008304 0.251138 -10.5647 -11.0594 -10.1007 0        NaN      NaN     
cold_weather      -14.1339 0.013378 0.466619 -14.1874 -14.9944 -13.1164 0        NaN      NaN     
cold_weather      -4.59566 0.003133 0.093871 -4.59642 -4.79442 -4.42489 0        NaN      NaN     
cold_weather      -4.47433 0.002751 0.077981 -4.47162 -4.63542 -4.33270 0        NaN      NaN     
come              -7.34776 0.006643 0.207958 -7.33754 -7.76619 -6.95391 0        NaN      NaN     
come              -4.80947 0.005256 0.139017 -4.80554 -5.06730 -4.54009 0        NaN      NaN     
come              -4.96142 0.003083 0.097858 -4.96115 -5.14021 -4.76164 0        NaN      NaN     
count_verb        -14.8721 0.007737 0.251999 -14.8681 -15.3424 -14.3597 0        NaN      NaN     
count_verb        -5.20492 0.00342  0.100388 -5.2032  -5.38227 -4.99423 0        NaN      NaN     
count_verb        -4.88388 0.003905 0.112827 -4.88397 -5.10295 -4.66411 0        NaN      NaN     
count_verb        -4.33186 0.003247 0.089213 -4.32993 -4.51133 -4.16464 0        NaN      NaN     
count_verb        -4.53572 0.00324  0.088431 -4.53441 -4.70306 -4.36645 0        NaN      NaN     
count_verb        -4.31195 0.003157 0.090606 -4.31016 -4.49727 -4.14026 0        NaN      NaN     
count_verb        -5.00567 0.003318 0.095317 -5.00549 -5.18798 -4.82020 0        NaN      NaN     
count_verb        -5.00567 0.003318 0.095317 -5.00549 -5.18798 -4.82020 0        NaN      NaN     
cut_verb          -16.9914 0.0091   0.309146 -16.9981 -17.5800 -16.3773 0        NaN      NaN     
cut_verb          -4.80459 0.005264 0.139056 -4.80098 -5.07119 -4.54463 0        NaN      NaN     
