item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.flower                    -42.8497 0.014298 0.781617 -42.7618 -44.4639 -41.5332 12050.27 2988.314 NaN     
treeLikelihood.fly                       -33.7300 0.014822 0.88943  -33.6428 -35.3859 -32.0878 10000    3601     NaN     
treeLikelihood.fog                       -66.7470 0.02228  1.151698 -66.8089 -68.7451 -64.4870 13476.79 2671.999 NaN     
treeLikelihood.foot                      -13.2669 0.012464 0.609682 -13.1858 -14.4414 -12.2728 15048.66 2392.904 NaN     
treeLikelihood.fruit                     -18.8831 0.010026 0.601616 -18.8119 -20.0406 -17.8932 10000    3601     NaN     
treeLikelihood.give                      -29.4700 0.013461 0.7074   -29.3896 -30.8011 -28.2169 13039.21 2761.670 NaN     
treeLikelihood.good                      -43.5631 0.016225 0.888491 -43.4928 -45.3542 -41.9613 12008.44 2998.722 NaN     
treeLikelihood.grass                     -24.1742 0.014175 0.61429  -24.1111 -25.3269 -23.1011 19173.92 1878.071 NaN     
treeLikelihood.green                     -64.3727 0.012871 0.737671 -64.3087 -65.7010 -63.0105 10962.45 3284.847 NaN     
treeLikelihood.guts                      -9.78442 0.010206 0.555605 -9.69571 -10.7998 -8.93976 12151.30 2963.466 NaN     
treeLikelihood.hair                      -15.3898 0.01041  0.624676 -15.2956 -16.6245 -14.3937 10000    3601     NaN     
treeLikelihood.hand                      -1.01032 0.017146 0.83526  -0.78179 -2.65565 -0.00167 15173.65 2373.191 NaN     
treeLikelihood.he                        -36.2809 0.024226 1.232567 -36.3286 -38.5600 -33.6722 13911.23 2588.555 NaN     
treeLikelihood.head                      -33.5483 0.017191 0.992807 -33.4119 -35.5220 -31.8046 10796.77 3335.256 NaN     
treeLikelihood.hear                      -24.9653 0.013639 0.818477 -24.9361 -26.5035 -23.4119 10000    3601     NaN     
treeLikelihood.heart                     -14.6583 0.009579 0.54226  -14.6025 -15.6943 -13.7257 11236.94 3204.607 NaN     
treeLikelihood.heavy                     -29.6709 0.015015 0.799808 -29.5507 -31.2382 -28.3884 12691.69 2837.288 NaN     
treeLikelihood.here                      -0.92727 0.015143 0.781354 -0.72531 -2.41573 -0.00714 13526.27 2662.225 NaN     
treeLikelihood.hit                       -54.7552 0.019359 1.022096 -54.6703 -56.8030 -52.8315 12918.29 2787.519 NaN     
treeLikelihood.hold_in                   -47.0849 0.017758 0.932774 -47.0418 -48.8847 -45.3543 13051.27 2759.117 NaN     
treeLikelihood.how                       -36.2096 0.013095 0.727036 -36.0937 -37.6590 -34.9407 11681.24 3082.719 NaN     
treeLikelihood.hunt                      -68.1132 0.016587 0.918595 -68.0290 -69.9443 -66.4063 11740.90 3067.054 NaN     
treeLikelihood.husband                   -0.99963 0.016988 0.836926 -0.78445 -2.52118 -0.01352 14835.90 2427.219 NaN     
treeLikelihood.kill                      -43.1379 0.016009 0.896393 -42.9923 -44.8883 -41.6029 11485.48 3135.261 NaN     
treeLikelihood.know                      -34.8660 0.013652 0.813225 -34.7697 -36.4889 -33.3914 10148.50 3548.307 NaN     
treeLikelihood.lake                      -16.8937 0.010898 0.653953 -16.8201 -18.0967 -15.7437 10000    3601     NaN     
treeLikelihood.laugh                     -59.3865 0.022773 1.019435 -59.3162 -61.2804 -57.4054 17970.00 2003.895 NaN     
treeLikelihood.leaf                      -41.2004 0.014275 0.767813 -41.1329 -42.7338 -39.8599 12446.18 2893.256 NaN     
treeLikelihood.leg                       -46.3001 0.015538 0.877275 -46.2405 -48.0138 -44.6810 11295.83 3187.899 NaN     
treeLikelihood.lie_be_lying              -15.0923 0.011229 0.648972 -14.9816 -16.3421 -14.0761 10780.17 3340.390 NaN     
treeLikelihood.live                      -53.4594 0.013296 0.779704 -53.3347 -54.9554 -52.1802 10471.41 3438.886 NaN     
treeLikelihood.liver                     -16.4909 0.009654 0.516244 -16.3950 -17.4984 -15.7910 12593.13 2859.495 NaN     
treeLikelihood.long                      -51.3024 0.012824 0.722476 -51.2298 -52.5959 -50.0611 11345.72 3173.883 NaN     
