item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
bird              -3.70805 0.002314 0.075368 -3.70512 -3.85900 -3.56869 0        NaN      NaN     
bird              -4.73500 0.004032 0.147406 -4.72479 -5.02389 -4.45977 0        NaN      NaN     
bite              -12.2437 0.010107 0.422246 -12.2537 -13.1159 -11.4323 0        NaN      NaN     
bite              -5.91190 0.006498 0.259565 -5.89567 -6.39144 -5.40062 0        NaN      NaN     
bite              -4.25348 0.003852 0.10963  -4.25184 -4.47012 -4.04015 0        NaN      NaN     
bite              -3.69086 0.002346 0.075367 -3.68668 -3.83697 -3.54749 0        NaN      NaN     
bite              -15.7084 0.011978 0.385937 -15.6987 -16.4700 -15.0159 0        NaN      NaN     
black             -19.0834 0.013618 0.539188 -19.109  -20.0112 -17.9179 0        NaN      NaN     
black             -25.6062 0.017777 0.53354  -25.5996 -26.7078 -24.6824 0        NaN      NaN     
black             -4.18351 0.002976 0.09744  -4.1834  -4.38143 -4.01054 0        NaN      NaN     
black             -4.31782 0.002636 0.095274 -4.31596 -4.49798 -4.13235 0        NaN      NaN     
black             -4.90228 0.003563 0.139625 -4.89435 -5.18412 -4.63812 0        NaN      NaN     
black             -4.95243 0.004762 0.193638 -4.94143 -5.36165 -4.61085 0        NaN      NaN     
black             -8.00246 0.013546 0.574856 -8.14392 -8.76897 -6.49514 0        NaN      NaN     
blood             -9.14295 0.011372 0.283937 -9.14036 -9.70550 -8.58695 0        NaN      NaN     
blow_wind         -9.34203 0.007943 0.225873 -9.34449 -9.76215 -8.90515 0        NaN      NaN     
blow_wind         -4.16995 0.002511 0.090289 -4.16774 -4.34940 -4.00072 0        NaN      NaN     
blow_wind         -4.62039 0.003754 0.136081 -4.61531 -4.88555 -4.35916 0        NaN      NaN     
blow_wind         -3.67221 0.002406 0.075984 -3.66897 -3.82076 -3.53023 0        NaN      NaN     
blow_wind         -4.23482 0.003911 0.110187 -4.23239 -4.45284 -4.02130 0        NaN      NaN     
bone              -4.10609 0.002709 0.086734 -4.10312 -4.27624 -3.94110 0        NaN      NaN     
bone              -4.31610 0.002627 0.095916 -4.31314 -4.51398 -4.13132 0        NaN      NaN     
bone              -8.9541  0.010572 0.258396 -8.94892 -9.47958 -8.46353 0        NaN      NaN     
breathe           -14.1336 0.007895 0.318259 -14.1241 -14.7664 -13.5482 0        NaN      NaN     
breathe           -11.1176 0.011633 0.44755  -11.0723 -12.1209 -10.3305 0        NaN      NaN     
breathe           -5.23516 0.004337 0.148422 -5.22648 -5.52187 -4.95984 0        NaN      NaN     
breathe           -5.31019 0.004211 0.160749 -5.30562 -5.62499 -5.00839 0        NaN      NaN     
breathe           -4.55593 0.003407 0.123908 -4.55385 -4.82298 -4.33822 0        NaN      NaN     
breathe           -4.62653 0.003284 0.129035 -4.62729 -4.88347 -4.38393 0        NaN      NaN     
breathe           -4.04225 0.002908 0.088259 -4.04059 -4.21737 -3.87531 0        NaN      NaN     
breathe           -3.96305 0.002454 0.082329 -3.96247 -4.13795 -3.81651 0        NaN      NaN     
breathe           -5.05132 0.003767 0.14577  -5.04792 -5.34593 -4.78617 0        NaN      NaN     
burn_tr_v         -5.42575 0.004456 0.179201 -5.42608 -5.78076 -5.09568 0        NaN      NaN     
burn_tr_v         -5.08100 0.003716 0.145268 -5.07746 -5.37546 -4.81917 0        NaN      NaN     
burn_tr_v         -6.70750 0.011487 0.344186 -6.78728 -7.24683 -5.92322 0        NaN      NaN     
burn_tr_v         -14.5954 0.009027 0.37657  -14.5828 -15.3825 -13.9144 0        NaN      NaN     
burn_tr_v         -9.33341 0.006892 0.222226 -9.32125 -9.79468 -8.93106 0        NaN      NaN     
burn_tr_v         -3.99278 0.002283 0.081427 -3.99109 -4.14644 -3.83030 0        NaN      NaN     
burn_tr_v         -4.07186 0.002806 0.087392 -4.07000 -4.24534 -3.90494 0        NaN      NaN     
burn_tr_v         -4.28124 0.002698 0.09658  -4.27757 -4.45877 -4.07407 0        NaN      NaN     
burn_tr_v         -3.99278 0.002283 0.081427 -3.99109 -4.14644 -3.83030 0        NaN      NaN     
child             -4.25381 0.002752 0.096702 -4.25131 -4.44010 -4.06979 0        NaN      NaN     
child             -10.1673 0.008356 0.247711 -10.1693 -10.6590 -9.72028 0        NaN      NaN     
child             -4.08971 0.002747 0.094308 -4.08773 -4.27780 -3.92141 0        NaN      NaN     
child             -4.45559 0.003775 0.144883 -4.45156 -4.75930 -4.19739 0        NaN      NaN     
cloud             -4.23119 0.003925 0.110638 -4.22908 -4.45418 -4.02311 0        NaN      NaN     
cloud             -15.4941 0.019745 0.73907  -15.3565 -17.1811 -14.2963 0        NaN      NaN     
cloud             -12.1200 0.017324 0.606788 -12.0151 -13.5547 -11.2017 0        NaN      NaN     
cloud             -4.89283 0.004801 0.194139 -4.88271 -5.28671 -4.53778 0        NaN      NaN     
cold_weather      -10.4907 0.009552 0.28576  -10.4823 -11.0692 -9.97935 0        NaN      NaN     
cold_weather      -12.9453 0.012721 0.52793  -13.0348 -13.8175 -11.7659 0        NaN      NaN     
cold_weather      -4.08993 0.002758 0.087001 -4.08751 -4.25705 -3.92055 0        NaN      NaN     
cold_weather      -4.01092 0.002248 0.08095  -4.00933 -4.16525 -3.85132 0        NaN      NaN     
come              -8.75380 0.010385 0.254012 -8.75051 -9.31577 -8.30963 0        NaN      NaN     
come              -4.27140 0.003797 0.109513 -4.26980 -4.48777 -4.06154 0        NaN      NaN     
come              -4.50351 0.003731 0.144341 -4.50076 -4.79973 -4.24079 0        NaN      NaN     
