ID	STRUCTURE	FREQUENCY	Amawaka	Arara	Chakobo	Chaninawa	Iskonawa	Kakataibo	Kanamari	Kapanawa	Kashinawa_B	Kashinawa_P	Katukina	Kaxarari	Marinawa	Marubo	Mastanawa	Matis	Matses	Nawa	Nukini	Pakawara	Poyanawa	Shanenawa	Sharanawa	Shipibo_Konibo	Yaminawa	Yawanawa	COGNATESETS	CONCEPTS
60-2	C	2	k	Ø	k	t	Ø	kʷ	Ø	k	t	t	Ø	Ø	t	k	Ø	Ø	tʃ	t	k	Ø	k	t	t	k	t	t	252:2, 366:2	dirty / fear [verb]
222-2	C	2	k	Ø	ʂ	k	k	β	Ø	-	Ø	k	k	Ø	k	Ø	ʔ	Ø	Ø	k	Ø	Ø	k	k	k	Ø	ʔ	k	1217:2, 1410:2	suck / wet
236-2	C	2	k	Ø	Ø	k	Ø	Ø	Ø	k	Ø	k	Ø	h	d	Ø	k	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ʔ	Ø	1315:2, 1400:0	throw / we
70-1	C	1	k	tʃ	k	Ø	k	β	tʃ	k	k	k	ʈʂ	Ø	k	tʃ	tʃ	ʂ	t	tʃ	k	k	k	k	tʃ	k	tʃ	k	310:3	ear
81-1	C	1	k	k	k	k	k	k	Ø	k	Ø	Ø	k	Ø	k	k	-	k	-	k	Ø	Ø	Ø	k	k	k	-	k	334:2	fall [drop]
111-1	C	1	k	h	k	k	β	k	β	k	k	k	β	k	k	β	ɸ	k	d	k	w	k	k	ɸ	ɸ	k	ʔ	h	546:2	hand
116-1	C	1	k	k	k	k	k	kʷ	Ø	k	k	k	k	k	k	k	-	Ø	Ø	k	Ø	Ø	Ø	k	k	k	ʔ	k	559:0	hear
160-1	C	1	k	k	ʂ	k	k	k	k	k	k	k	k	k	tʃ	k	tʃ	ʂ	β	tʃ	k	k	k	k	tʃ	k	tʃ	k	830:2	nose
184-1	C	1	k	Ø	Ø	Ø	Ø	Ø	Ø	k	Ø	Ø	Ø	Ø	k	Ø	-	Ø	Ø	k	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	943:2	rub
203-1	C	1	k	k	k	k	k	k	kʰ	k	k	k	k	k	k	k	k	k	Ø	k	Ø	k	k	k	k	k	k	n	1092:0	smoke [noun]
252-1	C	1	k	Ø	Ø	d	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ⁿd	Ø	j	Ø	Ø	k	Ø	Ø	Ø	Ø	d	Ø	Ø	Ø	1428:2	where [interr.]
23-8	C	8	j	d	j	j	j	ɲ	Ø	j	j	j	Ø	Ø	j	j	j	tʃ	Ø	j	j	Ø	j	j	j	j	j	j	24:0, 76:3, 78:0, 277:1, 357:0, 971:0, 1100:0, 1150:0	animal / bird / drink [verb] / fish [noun] / say / smooth / squeeze
38-8	C	8	j	w	w	w	w	-	Ø	w	w	w	w	w	w	w	w	w	w	w	Ø	w	w	w	w	w	w	w	63:1, 223:2, 573:1, 696:1, 1043:2, 1076:1, 1267:1, 1431:2	big / die / heavy / live / sing / small / thick / where [interr.]
40-4	C	4	j	j	j	j	w	-	Ø	j	j	j	Ø	Ø	j	j	j	Ø	Ø	j	n	n	Ø	j	j	j	j	j	89:2, 456:2, 834:0, 855:0	bite / fly [verb] / old [adj.] / person (human)
91-1	C	1	j	j	Ø	Ø	j	ts	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	j	Ø	Ø	Ø	Ø	j	412:0	fish [noun]
139-1	C	1	j	-	j	j	j	j	Ø	j	j	j	j	j	j	j	j	Ø	Ø	j	j	j	j	j	j	j	j	j	724:0	louse
263-1	C	1	j	Ø	Ø	Ø	w	Ø	Ø	w	w	w	w	Ø	w	w	Ø	Ø	Ø	w	Ø	Ø	Ø	ɸ	w	w	w	w	1470:2	wind [breeze]
14-3	C	3	h	hʷ	h	Ø	Ø	Ø	h	h	h	h	h	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	h	Ø	h	Ø	h	Ø	Ø	6:0, 1431:0, 728:0	all / man [male] / where [interr.]
49-8	C	8	b	β	β	ɸ	β	Ø	β	β	Ø	β	Ø	Ø	ɸ	β	ɸ	β	β	ɸ	β	w	β	ɸ	ɸ	β	w	β	156:0, 165:0, 465:3, 824:0, 1042:0, 1099:2, 1343:2, 1613:0	child / cloud / fog / night / sing / smooth / swell / turn [intr. v.]
92-3	C	3	-	m	Ø	b	m	ts	Ø	Ø	m	m	Ø	Ø	b	Ø	b	k	k	b	Ø	Ø	m	m	b	Ø	b	m	412:2, 796:3, 1279:0	fish [noun] / near / thin
134-2	C	2	-	ʃ	ʂ	ʂ	ʃ	s	ʃ	ʃ	ʂ	ʃ	Ø	ʂ	s	ʃ	Ø	s	s	s	Ø	ʃ	ʃ	ʂ	ʂ	ʃ	ʃ	ʃ	662:0, 968:2	laugh / sand
144-1	C	1	-	p	Ø	p	Ø	-	Ø	-	Ø	p	Ø	Ø	p	Ø	p	Ø	Ø	p	Ø	Ø	Ø	-	p	-	p	-	735:3	many
246-1	C	1	-	Ø	w	w	w	Ø	Ø	w	w	w	Ø	w	w	w	w	w	Ø	w	Ø	Ø	Ø	w	w	w	w	w	1412:1	what [interr.]
259-1	C	1	-	m	w	w	w	Ø	Ø	w	-	Ø	-	Ø	m	-	w	w	Ø	m	Ø	w	w	w	w	w	w	w	1460:1	wife
