item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
bird              -3.95395 0.003779 0.089844 -3.95340 -4.13351 -3.79403 0        NaN      NaN     
bird              -4.92778 0.003905 0.132772 -4.91781 -5.19608 -4.67528 0        NaN      NaN     
bite              -11.9985 0.010313 0.337305 -11.9911 -12.6692 -11.3402 0        NaN      NaN     
bite              -6.45781 0.006681 0.255851 -6.43745 -6.97549 -5.99505 0        NaN      NaN     
bite              -4.67499 0.005547 0.133031 -4.66815 -4.92548 -4.42190 0        NaN      NaN     
bite              -3.93695 0.00383  0.090304 -3.93591 -4.11860 -3.77717 0        NaN      NaN     
bite              -16.9537 0.013396 0.475396 -16.9396 -17.8135 -16.0809 0        NaN      NaN     
black             -18.6224 0.013645 0.466031 -18.6216 -19.5783 -17.7795 0        NaN      NaN     
black             -25.3372 0.018561 0.551534 -25.3243 -26.4865 -24.3362 0        NaN      NaN     
black             -4.40448 0.003285 0.092749 -4.40313 -4.60166 -4.23641 0        NaN      NaN     
black             -4.64421 0.003327 0.101714 -4.64599 -4.83271 -4.44346 0        NaN      NaN     
black             -5.38200 0.003689 0.141574 -5.37307 -5.64422 -5.08721 0        NaN      NaN     
black             -5.64553 0.006614 0.240184 -5.63646 -6.12164 -5.19789 0        NaN      NaN     
black             -8.01239 0.010078 0.339269 -8.04200 -8.70495 -7.31238 0        NaN      NaN     
blood             -6.1166  0.007185 0.227201 -6.11725 -6.57081 -5.70070 0        NaN      NaN     
blow_wind         -9.14326 0.009294 0.296747 -9.14079 -9.74852 -8.60208 0        NaN      NaN     
blow_wind         -4.50460 0.003658 0.096375 -4.50333 -4.70018 -4.32532 0        NaN      NaN     
blow_wind         -4.80869 0.003886 0.123112 -4.80336 -5.04339 -4.55503 0        NaN      NaN     
blow_wind         -3.92133 0.003887 0.090999 -3.92097 -4.10002 -3.75619 0        NaN      NaN     
blow_wind         -4.65905 0.005603 0.133609 -4.65287 -4.91608 -4.41000 0        NaN      NaN     
bone              -4.26057 0.003661 0.093275 -4.25815 -4.44515 -4.08318 0        NaN      NaN     
bone              -4.40098 0.003624 0.09476  -4.39722 -4.58151 -4.21682 0        NaN      NaN     
bone              -6.61639 0.007587 0.223713 -6.60663 -7.06100 -6.19295 0        NaN      NaN     
breathe           -15.0871 0.010825 0.344745 -15.0832 -15.7621 -14.4288 0        NaN      NaN     
breathe           -11.8125 0.011214 0.40458  -11.8104 -12.5784 -11.0268 0        NaN      NaN     
breathe           -5.38905 0.004359 0.143098 -5.38458 -5.66280 -5.10996 0        NaN      NaN     
breathe           -5.49876 0.004507 0.152199 -5.50000 -5.78814 -5.19996 0        NaN      NaN     
breathe           -4.77553 0.00416  0.124303 -4.77308 -5.03550 -4.54269 0        NaN      NaN     
breathe           -4.83246 0.004008 0.123776 -4.83223 -5.10369 -4.61560 0        NaN      NaN     
breathe           -4.2124  0.003829 0.095534 -4.20881 -4.40342 -4.03049 0        NaN      NaN     
breathe           -4.32823 0.00349  0.09222  -4.32356 -4.51424 -4.14891 0        NaN      NaN     
breathe           -5.32258 0.003929 0.137351 -5.31903 -5.59853 -5.07662 0        NaN      NaN     
burn_tr_v         -5.62513 0.004927 0.177392 -5.61890 -5.98411 -5.29028 0        NaN      NaN     
burn_tr_v         -5.35289 0.003855 0.136785 -5.34981 -5.63255 -5.11137 0        NaN      NaN     
burn_tr_v         -7.15073 0.008716 0.250589 -7.14692 -7.67297 -6.66766 0        NaN      NaN     
burn_tr_v         -15.8537 0.010741 0.384684 -15.8440 -16.6452 -15.1578 0        NaN      NaN     
burn_tr_v         -9.68849 0.007414 0.214766 -9.68197 -10.1208 -9.28902 0        NaN      NaN     
burn_tr_v         -4.35675 0.003385 0.090974 -4.35296 -4.53502 -4.17439 0        NaN      NaN     
burn_tr_v         -4.23362 0.003748 0.094533 -4.23106 -4.42385 -4.05372 0        NaN      NaN     
burn_tr_v         -4.37220 0.003707 0.096044 -4.36933 -4.54965 -4.17863 0        NaN      NaN     
burn_tr_v         -4.35675 0.003385 0.090974 -4.35296 -4.53502 -4.17439 0        NaN      NaN     
child             -4.58744 0.003515 0.103656 -4.58966 -4.78528 -4.38904 0        NaN      NaN     
child             -10.1758 0.007939 0.294427 -10.1675 -10.7355 -9.60734 0        NaN      NaN     
child             -4.32727 0.003447 0.092939 -4.32523 -4.51998 -4.15552 0        NaN      NaN     
