ID	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	NOTE
66	bird	Sharanawa	t͡sit͡sipiu	t͡sit͡sipiu	ts i ts i p i u	79	0	ts i ts i p i u		None
67	bird	Amawaka	pɨnja	pɨnja	p ɨ n + j a	76	0	p ɨ n ( + ) j a		None
68	bird	Nawa	pɨja	pɨja	p ɨ n + j a	76	0	p ɨ n ( + ) j a		None
69	bird	Marinawa	pɨ:ja	pɨ:ja	p ɨ n + j a	76	0	p ɨ n ( + ) j a		None
70	bird	Marinawa	tsi:tsipju	tsi:tsipju	ts i ts i p i u	79	0	ts i ts i p i u		None
71	bird	Yaminawa	pɨja	pɨja	p ɨ n + j a	76	0	p ɨ n ( + ) j a		None
72	bird	Kashinawa_P	isa	isa	i s a	77	0	- i s a - -		None
73	bird	Kashinawa_B	isa	isa	i s a	77	0	- i s a - -		None
74	snake	Matses	nisi	nisi	n i s i	1115	0	n i s i		None
75	snake	Matis	dunu	dunu	d u n u	1110	0	d u n u		None
76	snake	Marubo	runu	runu	r u n u	1110	0	r u n u		None
77	snake	Katukina	runu	runu	r u n u	1110	0	r u n u		None
78	snake	Shipibo_Konibo	runu	runu	r u n u	1110	0	r u n u		None
79	snake	Kapanawa	runu	runu	r u n u	1110	0	r u n u		None
80	snake	Arara	rundu	rundu	r u nd u	1110	0	r u nd u		None
81	snake	Shanenawa	runu	runu	r u n u	1110	0	r u n u		None
82	snake	Yawanawa	runu	runu	r u n u	1110	0	r u n u		None
83	snake	Nukini	βĩwã	βĩwã	β ĩ w ã	1114	0	β ĩ w ã		None
84	snake	Poyanawa	inãhãkara	inãhãkara	i n ã h ã k a r a	1113	0	i n ã h ã k a r a		None
85	snake	Poyanawa	rũdu	rũdu	r u nd u	1110	0	r u nd u		None
86	snake	Iskonawa	hɨamiʦa	hɨamiʦa	h ɨ a m i ts a	1116	0	h ɨ a m i ts a		None
87	snake	Iskonawa	nasaβaj	nasasaβaj	n a s a β a i	1112	0	n a s a β a i		None
88	snake	Chakobo	runu	runu	r u n u	1110	0	r u n u		None
89	snake	Kakataibo	runu	runu	r u n u	1110	0	r u n u		None
90	snake	Kaxarari	tʃulu	tʃulu	tʃ u l u	1110	0	tʃ u l u		None
91	snake	Mastanawa	ɾudu	ɾudu	ɾ u d u	1110	0	ɾ u d u		None
92	snake	Chaninawa	ɾudu	ɾudu	ɾ u nd u	1110	0	ɾ u nd u		None
93	snake	Sharanawa	ɾudu	ɾudu	ɾ u d u	1110	0	ɾ u d u		None
94	snake	Amawaka	ɾundu	ɾundu	ɾ u nd u	1110	0	ɾ u nd u		None
95	snake	Nawa	ɾudu	ɾudu	ɾ u d u	1110	0	ɾ u d u		None
96	snake	Marinawa	ɾundu	ɾundu	ɾ u nd u	1110	0	ɾ u nd u		None
97	snake	Yaminawa	ɾudu	ɾudu	ɾ u d u	1110	0	ɾ u d u		None
98	snake	Kashinawa_P	dunu	dunu	d u n u	1110	0	d u n u		None
99	snake	Kashinawa_B	dunu	dunu	d u n u	1110	0	d u n u		None
100	fish [noun]	Matses	nuɨkkid	nuɨkkid	n u ɨ + k i d	418	64	n u ɨ + k i d		None
101	fish [noun]	Matis	tʃapa	tʃapa	tʃ a p a	1637	0	tʃ a p a		None
102	fish [noun]	Marubo	japa	japa	j a p a	357	0	j a p a		None
103	fish [noun]	Katukina	tsatsa	tsatsa	ts a ts a	416	0	ts a ts a		None
104	fish [noun]	Shipibo_Konibo	yapa	yapa	j a p a	357	0	j a p a		None
105	fish [noun]	Kapanawa	yapa	yapa	j a p a	357	0	j a p a		None
106	fish [noun]	Arara	jumba	jumba	j u mb a	412	0	j u mb a		None
107	fish [noun]	Shanenawa	iʂkin	iʂkin	i ʂ k i n	421	0	i ʂ k i n		None
108	fish [noun]	Yawanawa	juma	juma	j u m a	412	0	j u m a		None
109	fish [noun]	Nukini	naʂtu	naʂtu	n a ʂ t u	419	0	n a ʂ t u		None
110	fish [noun]	Nukini	kawa	kawa	k a w a	415	0	↓k/w a ↓w/k a		None
111	fish [noun]	Poyanawa	jumã	jumã	j u m ã	412	0	j u m ã		None
112	fish [noun]	Iskonawa	juma	juma	j u m a	412	0	j u m a		None
113	fish [noun]	Chakobo	yapa	yapa	j a p a	357	0	j a p a		None
114	fish [noun]	Pakawara	saninu	saninu	s a n i + n u	420	0	s a n i + n u		None
115	fish [noun]	Kakataibo	tsatsa	ɲapa	ts a ts a	1627	0	ts a ts a		None
116	fish [noun]	Kaxarari	mailu	mailu	m a j l u	417	0	m a i l u		None
117	fish [noun]	Mastanawa	ʃima	ʃima	ʃ i m a	413	0	ʃ i m a		None
118	fish [noun]	Chaninawa	ʃima	ʃima	ʃ i m a	413	0	ʃ i m a		None
119	fish [noun]	Chaninawa	βaka	βaka	β a k a	415	0	β a k a		None
120	fish [noun]	Sharanawa	ʃima	ʃima	ʃ i m a	413	0	ʃ i m a		None
121	fish [noun]	Amawaka	jumba	jumba	j u mb a	412	0	j u mb a		None
122	fish [noun]	Nawa	ʃima	ʃima	ʃ i m a	413	0	ʃ i m a		None
123	fish [noun]	Marinawa	ʃima	ʃima	ʃ i m a	413	0	ʃ i m a		None
124	fish [noun]	Yaminawa	huwɨ	huwɨ	h u w ɨ	422	0	h u w ɨ		None
125	fish [noun]	Kashinawa_P	βaka	βaka	β a k a	415	0	β a k a		None
126	fish [noun]	Kashinawa_B	βaka	βaka	β a k a	415	0	β a k a		None
127	louse	Matses	matiʃ	matiʃ	m a t i ʃ	727	0	m a t i ʃ		None
128	louse	Matis	tʃa	tʃa	tʃ a	726	0	tʃ a		None
129	louse	Marubo	ja	ja	j a	724	0	- - j a		None
130	louse	Katukina	ia	ia	i a	724	0	- i - a		None
131	louse	Shipibo_Konibo	ia	ia	i a	724	0	- i - a		None
132	louse	Kapanawa	ia	ia	i a	724	0	- i - a		None
133	louse	Arara	ia	ia	i a	724	0	- i - a		None
134	louse	Shanenawa	ia	ia	i a	724	0	- i - a		None
135	louse	Yawanawa	ia	ia	i a	724	0	- i - a		None
136	louse	Nukini	ia	ia	i a	724	0	- i - a		None
137	louse	Poyanawa	ia	ia	i a	724	0	- i - a		None
138	louse	Iskonawa	ia	ia	i a	724	0	- i - a		None
139	louse	Chakobo	ia	ia	i a	724	0	- i - a		None
140	louse	Pakawara	ia	ia	i a	724	0	- i - a		None
141	louse	Kakataibo	ʔia	?ia	ʔ i a	724	0	ʔ i - a		None
142	louse	Kaxarari	iya	iya	i j a	724	0	- i j a		None
143	louse	Mastanawa	ija	ija	i j a	724	0	- i j a		None
144	louse	Chaninawa	ija	ija	i j a	724	0	- i j a		None
145	louse	Sharanawa	i:a	i:a	i j a	724	0	- i j a		None
146	louse	Amawaka	inja	inja	i j a	724	0	- i j a		None
147	louse	Nawa	ija	ija	i j a	724	0	- i j a		None
148	louse	Marinawa	ija	ija	i j a	724	0	- i j a		None
149	louse	Yaminawa	ija	ija	i j a	724	0	- i j a		None
150	louse	Kashinawa_P	ia	ia	i a	724	0	- i - a		None
151	louse	Kashinawa_B	ia	ia	i a	724	0	- i - a		None
152	worm (i.e. earthworm)	Matses	nuen	nuen	n u e n	1519	0	n u - - e n		None
153	worm (i.e. earthworm)	Matis	nuen	nuen	n u e n	1519	0	n u - - e n		None
154	worm (i.e. earthworm)	Marubo	nuin	nuin	n u i n	1519	0	n u - - i n		None
155	worm (i.e. earthworm)	Katukina	noin	noin	n o i n	1519	0	n o - - i n		None
156	worm (i.e. earthworm)	Shipibo_Konibo	nuin	nuin	n u i n	1519	0	n u - - i n		None
157	worm (i.e. earthworm)	Kapanawa	nuin	nuin	n u i n	1519	0	n u - - i n		None
158	worm (i.e. earthworm)	Arara	nũĩ	nũĩ	n ũ ĩ	1519	0	n ũ - - ĩ -		None
159	worm (i.e. earthworm)	Shanenawa	nuin	nuin	n u i n	1519	0	n u - - i n		None
160	worm (i.e. earthworm)	Yawanawa	nuwĩ	nuwĩ	n u w ĩ	1519	0	n u - w ĩ -		None
161	worm (i.e. earthworm)	Nukini	nũĩ	nũĩ	n ũ ĩ	1519	0	n ũ - - ĩ -		None
162	worm (i.e. earthworm)	Poyanawa	nũĩ	nũĩ	n ũ ĩ	1519	0	n ũ - - ĩ -		None
163	worm (i.e. earthworm)	Iskonawa	nũĩ	nũĩ	n ũ ĩ	1519	0	n ũ - - ĩ -		None
164	worm (i.e. earthworm)	Chakobo	nũĩ	nũĩ	n ũ ĩ	1519	0	n ũ - - ĩ -		None
165	worm (i.e. earthworm)	Pakawara	nuin	nuin	n u i n	1519	0	n u - - i n		None
166	worm (i.e. earthworm)	Kakataibo	nuin	nuin	n u i n	1519	0	n u - - i n		None
167	worm (i.e. earthworm)	Kaxarari	nuli	nuli	n u i l	1519	0	n u - - !l/i !i/l		None
168	worm (i.e. earthworm)	Mastanawa	nũĩ	nũĩ	n ũ ĩ	1519	0	n ũ - - ĩ -		None
169	worm (i.e. earthworm)	Chaninawa	nũĩ	nũĩ	n ũ ĩ	1519	0	n ũ - - ĩ -		None
170	worm (i.e. earthworm)	Sharanawa	nũĩ	nũĩ	n ũ ĩ	1519	0	n ũ - - ĩ -		None
171	worm (i.e. earthworm)	Amawaka	nuʔin	nuʔin	n u ʔ i n	1519	0	n u ʔ - i n		None
172	worm (i.e. earthworm)	Nawa	nuwi	nuwi	n u w i	1519	0	n u - w i -		None
173	worm (i.e. earthworm)	Marinawa	unwɨ	unwɨ	n u w ɨ	1519	32	!u/n !n/u - w ɨ -		None
174	worm (i.e. earthworm)	Yaminawa	nũmi	nũmi	n ũ m i	1519	0	n ũ - m i -		None
175	worm (i.e. earthworm)	Kashinawa_P	nuin	nuin	n u i n	1519	0	n u - - i n		None
176	worm (i.e. earthworm)	Kashinawa_B	nuin	nuin	n u i n	1519	0	n u - - i n		None
177	grass	Matses	wasin	wasin	w a s i n	508	0	- w a s i n		None
178	grass	Matis	wesin	wesin	w e s i n	508	0	- w e s i n		None
179	grass	Marubo	wasi	wasi	w a s i	508	0	- w a s i -		None
180	grass	Shipibo_Konibo	wasi	wasi	w a s i	508	0	- w a s i -		None
181	grass	Kapanawa	wasi	wasi	w a s i	508	0	- w a s i -		None
182	grass	Shanenawa	wasi	wasi	w a s i	508	0	- w a s i -		None
183	grass	Iskonawa	wãsi	wãsi	w ã s i	508	0	- w ã s i -		None
184	grass	Chakobo	wasi	wasi	w a s i	508	0	- w a s i -		None
185	grass	Pakawara	tsiki	tsiki	ts i k i	510	0	ts i k i		None
186	grass	Kakataibo	ʂuβi	ʂuβi	ʂ u β i	512	0	ʂ u β i		None
187	grass	Kaxarari	wasai	wasai	w a s a	508	0	- w a s a -		None
188	grass	Mastanawa	ɸasi	ɸasi	ɸ a s i	508	0	ɸ - a s i -		None
189	grass	Chaninawa	ɸasi	ɸasi	ɸ a s i	508	0	ɸ - a s i -		None
190	grass	Sharanawa	ɸasi	ɸasi	ɸ a s i	508	0	ɸ - a s i -		None
191	grass	Amawaka	wasi	wasi	w a s i	508	0	- w a s i -		None
192	grass	Nawa	ɸasi	ɸasi	ɸ a s i	508	0	ɸ - a s i -		None
193	grass	Marinawa	ʧaka	ʧaka	tʃ a k a	511	0	tʃ a k a		None
194	grass	Yaminawa	ɸasi	ɸasi	ɸ a s i	508	0	ɸ - a s i -		None
195	grass	Kashinawa_P	asi	asi	a s i	508	0	- - a s i -		None
196	tree	Matses	kuɨte	kuɨte	kʷ ɨ t e	1341	49	k u ɨ t e		None
197	tree	Matis	iwi	iwi	i w i	423	69 68	- i w i		None
198	tree	Marubo	iwi	iwi	i w i	423	69 68	- i w i		None
199	tree	Katukina	hiwi	hiwi	h i w i	423	69 68	h i w i		None
200	tree	Kanamari	hiwi	hiwi	h i w i	423	69 68	h i w i		None
201	tree	Shipibo_Konibo	hiwi	hiwi	h i w i	423	69 68	h i w i		None
202	tree	Kapanawa	hiwi	hiwi	h i w i	423	69 68	h i w i		None
203	tree	Arara	iwi	iwi	i w i	423	69	- i w i		None
204	tree	Shanenawa	iwi	iwi	i w i	423	69 68	- i w i		None
205	tree	Yawanawa	iwi	iwi	i w i	423	69 68	- i w i		None
206	tree	Nukini	iwi	iwi	i w i	423	69 68	- i w i		None
207	tree	Poyanawa	iwi	iwi	i w i	423	69 68	- i w i		None
208	tree	Iskonawa	iβi	iβi	i β i	423	69 68	- i β i		None
209	tree	Chakobo	hiwi	hiwi	h i w i	423	69	h i w i		None
210	tree	Pakawara	hiwi	hiwi	h i w i	423	53	h i w i		None
211	tree	Kakataibo	i	i	i	423	69	- i - -		None
212	tree	Kaxarari	hiwi	hiwi	h i w i	423	69 68	h i w i		None
213	tree	Mastanawa	di	di	d i	1338	50	d i		None
214	tree	Chaninawa	di:	di:	d iː	1338	50	d iː		None
215	tree	Sharanawa	iwi	iwi	i w i	423	69 68	- i w i		None
216	tree	Amawaka	wimbi	wimbi	h iː	423	62	h iː - -		None
217	tree	Nawa	di:	di:	d iː	1338	50	d iː		None
218	tree	Marinawa	di	di	d i	1338	50	d i		None
219	tree	Yaminawa	ibi	ibi	i β i	423	69 68	- i β i		None
220	tree	Kashinawa_P	hi	hi	h i	423	69	h i - -		None
221	tree	Kashinawa_P	ni	ni	n i	1338	38	n i		None
222	tree	Kashinawa_B	ni	ni	n i	1338	38	n i		None
223	father	Matses	papa	papa	p a p a	273	0	p a p a		None
224	father	Matis	mama	mama	m a m a	364	0	m a m a		None
225	father	Marubo	papa	papa	p a p a	273	0	p a p a		None
226	father	Katukina	papa	papa	p a p a	273	0	p a p a		None
227	father	Shipibo_Konibo	papa	papa	p a p a	273	0	p a p a		None
228	father	Kapanawa	papa	papa	p a p a	273	0	p a p a		None
229	father	Arara	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
230	father	Shanenawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
231	father	Yawanawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
232	father	Poyanawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
233	father	Iskonawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
234	father	Chakobo	papa	papa	p a p a	273	0	p a p a		None
235	father	Chakobo	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
236	father	Pakawara	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
237	father	Kakataibo	papa	papa	p a p a	273	0	p a p a		None
238	father	Kaxarari	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
239	father	Mastanawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
240	father	Chaninawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
241	father	Sharanawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
242	father	Amawaka	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
243	father	Nawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
244	father	Marinawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
245	father	Marinawa	iɸu	iɸu	i ɸ u	363	0	i ɸ u		None
246	father	Yaminawa	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
247	father	Kashinawa_P	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
248	father	Kashinawa_B	ɨpa	ɨpa	ɨ p a	360	0	ɨ p a		None
249	mother	Matses	tita	tita	t i t a	750	0	t i t a - - - -		None
250	mother	Matis	tita ani	tita ani	t i t a + a n i	750	0	t i t a + a n i		None
251	mother	Marubo	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
252	mother	Katukina	ɨwa	ewa	ɨ w a	749	0	ɨ w a		None
253	mother	Shipibo_Konibo	tita	tita	t i t a	750	0	t i t a - - - -		None
254	mother	Kapanawa	mama	mama	m a m a	754	0	m a m a		None
255	mother	Arara	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
256	mother	Shanenawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
257	mother	Yawanawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
258	mother	Poyanawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
259	mother	Iskonawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
260	mother	Chakobo	haʔiwa	ha?iwa	i w a	749	0	i w a		None
261	mother	Pakawara	kai	kai	k a j	753	0	k a i		None
262	mother	Kakataibo	tita	tita	t i t a	750	0	t i t a - - - -		None
263	mother	Kaxarari	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
264	mother	Mastanawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
265	mother	Chaninawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
266	mother	Sharanawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
267	mother	Amawaka	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
268	mother	Nawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
269	mother	Marinawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
270	mother	Yaminawa	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
271	mother	Kashinawa_P	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
272	mother	Kashinawa_B	ɨwa	ɨwa	ɨ w a	749	0	ɨ w a		None
273	husband	Matses	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
274	husband	Matis	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
275	husband	Marubo	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
276	husband	Katukina	βuni	βuni	β u n i	634	0	- - - - β u n i		None
277	husband	Shipibo_Konibo	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	2	- - - - β ɨ n ɨ		None
278	husband	Kapanawa	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
279	husband	Shanenawa	ɸɨnɨ	ɸɨnɨ	ɸ ɨ n ɨ	634	0	- - - - ɸ ɨ n ɨ		None
280	husband	Yawanawa	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
281	husband	Nukini	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
282	husband	Poyanawa	βɨdɨ	βɨdɨ	β ɨ d ɨ	634	0	- - - - β ɨ d ɨ		None
283	husband	Iskonawa	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
284	husband	Chakobo	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
285	husband	Pakawara	wɨnɨ	wɨnɨ	w ɨ n ɨ	634	0	- - - - w ɨ n ɨ		None
286	husband	Kakataibo	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
287	husband	Kaxarari	wɨnɨ	wɨnɨ	w ɨ n ɨ	634	0	- - - - w ɨ n ɨ		None
288	husband	Mastanawa	ɨnhuɨdɨ	ɨnhuɨdɨ	ɨ n w ɨ d ɨ	634	0	- - ɨ n w ɨ d ɨ		None
289	husband	Chaninawa	dukuɸɨdɨ	dukuɸɨdɨ	d u k u ɸ ɨ d ɨ	634	0	d u k u ɸ ɨ d ɨ		None
290	husband	Chaninawa	ɨwɨɸɨdɨ	ɨwɨɸɨdɨ	ɨ w ɨ ɸ ɨ d ɨ	634	0	- ɨ w ɨ ɸ ɨ d ɨ		None
291	husband	Sharanawa	ɸɨdɨ	ɸɨdɨ	ɸ ɨ d ɨ	634	0	- - - - ɸ ɨ d ɨ		None
292	husband	Amawaka	wɨndɨ	wɨndɨ	w ɨ nd ɨ	634	0	- - - - w ɨ nd ɨ		None
293	husband	Nawa	ɸɨdɨ	ɸɨdɨ	ɸ ɨ d ɨ	634	0	- - - - ɸ ɨ d ɨ		None
294	husband	Marinawa	ɸɨndi	ɸɨndi	ɸ ɨ nd i	634	0	- - - - ɸ ɨ nd i		None
295	husband	Yaminawa	wɨdɨ	wɨdɨ	w ɨ d ɨ	634	0	- - - - w ɨ d ɨ		None
296	husband	Kashinawa_P	βɨni	βɨni	β ɨ n i	634	0	- - - - β ɨ n i		None
297	husband	Kashinawa_B	βɨnɨ	βɨnɨ	β ɨ n ɨ	634	0	- - - - β ɨ n ɨ		None
298	wife	Matses	tʃido	tʃido	tʃ i d o	1466	0	tʃ i d o		None
299	wife	Matis	awin	awin	a w i n	1460	0	- a w i - - - - - n -		None
300	wife	Marubo	ain	ain	a i n	1460	0	- a - i - - - - - n -		None
301	wife	Katukina	ain	ain	a i n	1460	0	- a - i - - - - - n -		None
302	wife	Shipibo_Konibo	awin	awin	a w i n	1460	0	- a w i - - - - - n -		None
303	wife	Kapanawa	awin	awin	a w i n	1460	0	- a w i - - - - - n -		None
304	wife	Kapanawa	ainβu	ainβu	a i n + β u	1460	0	- a - i n + β - u - -		None
305	wife	Arara	amĩ	amĩ	a m ĩ	1460	0	- a - - - - - m ĩ - -		None
306	wife	Shanenawa	awin	awin	a w i n	1460	0	- a w i - - - - - n -		None
307	wife	Yawanawa	awin	awin	a w i n	1460	0	- a w i - - - - - n -		None
308	wife	Poyanawa	awĩ	awĩ	a w ĩ	1460	0	- a w ĩ - - - - - - -		None
309	wife	Iskonawa	awĩ	awĩ	a w ĩ	1460	0	- a w ĩ - - - - - - -		None
