ID	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	NOTE
1051	fat (grease)	Iskonawa	hɨni	hɨni	h ɨ n i	358	0	h ɨ n i - -		None
1052	fat (grease)	Chakobo	ʂɨni	ʂɨni	ʂ ɨ n i	358	0	ʂ ɨ n i - -		None
1053	fat (grease)	Kakataibo	ʂɨni	ʂɨni	ʂ ɨ n i	358	0	ʂ ɨ n i - -		None
1054	fat (grease)	Mastanawa	ʃidi	ʃidi	ʃ i d i	358	0	ʃ i d i - -		None
1055	fat (grease)	Chaninawa	ʂɨdi	ʂɨdi	ʂ ɨ d i	358	0	ʂ ɨ d i - -		None
1056	fat (grease)	Sharanawa	ʂɨdi	ʂɨdi	ʂ ɨ d i	358	0	ʂ ɨ d i - -		None
1057	fat (grease)	Amawaka	çɨndi	çɨndi	ç ɨ nd i	358	0	ç ɨ nd i - -		None
1058	fat (grease)	Nawa	ʂɨdi	ʂɨdi	ʂ ɨ d i	358	0	ʂ ɨ d i - -		None
1059	fat (grease)	Marinawa	ʂɨndi	ʂɨndi	ʂ ɨ nd i	358	0	ʂ ɨ nd i - -		None
1060	fat (grease)	Yaminawa	ʂɨdi	ʂɨdi	ʂ ɨ d i	358	0	ʂ ɨ d i - -		None
1061	fat (grease)	Kashinawa_P	ʂɨni	ʂɨni	ʂ ɨ n i	358	0	ʂ ɨ n i - -		None
1062	blood	Matses	intak	intak	i n t a k	106	0	- i n - t a k		None
1063	blood	Matis	imi	imi	i m i	106	0	- i m i - - -		None
1064	blood	Marubo	imi	imi	i m i	106	0	- i m i - - -		None
1065	blood	Katukina	himi	himi	h i m i	106	0	h i m i - - -		None
1066	blood	Shipibo_Konibo	himi	himi	h i m i	106	0	h i m i - - -		None
1067	blood	Kapanawa	himi	himi	h i m i	106	0	h i m i - - -		None
1068	blood	Arara	imbi	imbi	i mb i	106	0	- i mb i - - -		None
1069	blood	Shanenawa	imi	imi	i m i	106	0	- i m i - - -		None
1070	blood	Yawanawa	imi	imi	i m i	106	0	- i m i - - -		None
1071	blood	Nukini	imĩ	imĩ	i m ĩ	106	0	- i m ĩ - - -		None
1072	blood	Poyanawa	imbi	imbi	i mb i	106	0	- i mb i - - -		None
1073	blood	Iskonawa	imi	imi	i m i	106	0	- i m i - - -		None
1074	blood	Chakobo	himi	himi	h i m i	106	0	h i m i - - -		None
1075	blood	Pakawara	himi	himi	h i m i	106	0	h i m i - - -		None
1076	blood	Kakataibo	imi	imi	i m i	106	0	- i m i - - -		None
1077	blood	Kaxarari	himi	himi	h i m i	106	0	h i m i - - -		None
1078	blood	Mastanawa	ibi	ibi	i b i	106	0	- i b i - - -		None
1079	blood	Chaninawa	ibi	ibi	i b i	106	0	- i b i - - -		None
1080	blood	Sharanawa	ibi	ibi	i b i	106	0	- i b i - - -		None
1081	blood	Amawaka	himbi	himbi	h i mb i	106	0	h i mb i - - -		None
1082	blood	Nawa	ibi	ibi	i b i	106	0	- i b i - - -		None
1083	blood	Marinawa	inbi	inbi	i mb i	106	0	- i mb i - - -		None
1084	blood	Yaminawa	ibi	ibi	i b i	106	0	- i b i - - -		None
1085	blood	Kashinawa_P	himi	himi	h i m i	106	0	h i m i - - -		None
1086	blood	Kashinawa_B	himi	himi	h i m i	106	0	h i m i - - -		None
1087	root	Matses	tapun	tapun	t a + p u n	918	248 249	t a + p u n		None
1088	root	Matis	ʂuku	ʂuku	ʂ u + k u	923	250 251	ʂ u k u		None
1089	root	Marubo	tapun	tapun	t a + p u n	918	248 249	t a + p u n		None
1090	root	Shipibo_Konibo	tapun	tapun	t a + p u n	918	248 249	t a + p u n		None
1091	root	Kapanawa	tapun	tapun	t a + p u n	918	248 249	t a + p u n		None
1092	root	Arara	tapu	tapu	t a + p u	918	248 249	t a p u - -		None
1093	root	Shanenawa	tapu	tapu	t a + p u	918	248 249	t a + p u		None
1094	root	Yawanawa	tapun	tapun	t a + p u n	918	248 249	t a + p u n		None
1095	root	Poyanawa	tatʃa	tatʃa	t a + tʃ a	919	248 255	t a + tʃ a		None
1096	root	Iskonawa	tapũ	tapũ	t a + p ũ	918	248 249	t a + p ũ		None
1097	root	Chakobo	tapunu	tapunu	t a + p u n u	918	248 249	t a + p u n u		None
1098	root	Pakawara	tapunu	tapunu	t a + p u n u	918	248 249	t a + p u n u		None
1099	root	Kakataibo	tapun	tapun	t a + p u n	918	248 249	t a + p u n		None
1100	root	Kaxarari	tʃipunu	tʃipunu	tʃ i + p u n u	1581	248 249	tʃ i + p u n u		None
1101	root	Mastanawa	taʧa	taʧa	t a + tʃ a	919	248 255	t a + tʃ a		None
1102	root	Chaninawa	tapu	tapu	t a + p u	918	248 249	t a + p u		None
1103	root	Sharanawa	tat͡ʃa	tat͡ʃa	t a + tʃ a	919	248 255	t a + tʃ a		None
1104	root	Amawaka	hi:	hi:	h iː	925	252	h iː		None
1105	root	Nawa	tapu	tapu	t a + p u	918	248 249	t a + p u		None
1106	root	Marinawa	tapu	tapu	t a + p u	918	248 249	t a + p u		None
1107	root	Yaminawa	tapu	tapu	t a + p u	918	248 249	t a + p u		None
1108	root	Kashinawa_P	taʧa	taʧa	t a + tʃ a	919	248 255	t a + tʃ a		None
1109	root	Kashinawa_B	tatʃa	tatʃa	t a + tʃ a	919	248 255	t a + tʃ a		None
1110	leaf	Matses	podo	podo	p o d o	675	0	p o d o		None
1111	leaf	Matis	podo	podo	p o d o	675	0	p o d o		None
1112	leaf	Marubo	pɨi	pɨi	p ɨ + i	673	0	p ɨ + i		None
1113	leaf	Katukina	pei	pei	p e + i	673	0	p e + i		None
1114	leaf	Shipibo_Konibo	pɨi	pɨi	p ɨ + i	673	0	p ɨ + i		None
1115	leaf	Kapanawa	pɨi	pɨi	p ɨ + i	673	0	p ɨ + i		None
1116	leaf	Arara	dipɨ	dipɨ	d i p ɨ	582	0	d i p ɨ		None
1117	leaf	Shanenawa	pɨj	pɨj	p ɨ + j	673	0	p ɨ + j		None
1118	leaf	Yawanawa	pɨi	pɨi	p ɨ + i	673	0	p ɨ + i		None
1119	leaf	Nukini	mãnɨ	mãnɨ	m ã n ɨ	674	0	m ã n ɨ		None
1120	leaf	Poyanawa	mandi	mandi	m a nd i	674	0	m a ⁿd i		None
1121	leaf	Iskonawa	pɨi	pɨi	p ɨ + i	673	0	p ɨ + i		None
1122	leaf	Chakobo	pɨʔi	pɨ?i	p ɨ + ʔ i	673	0	p ɨ + ʔ i		None
1123	leaf	Pakawara	pɨʔi	pɨ?i	p ɨ + ʔ i	673	0	p ɨ + ʔ i		None
1124	leaf	Kakataibo	pɨi	pɨi	p ɨ + i	673	0	p ɨ + i		None
1125	leaf	Kaxarari	himani	himani	h i + m a n i	674	0	h i + m a n i		None
1126	leaf	Mastanawa	pɨj	pɨj	p ɨ + j	673	0	p ɨ + j		None
1127	leaf	Chaninawa	ʂɨpa	ʂɨpa	ʂ ɨ p a	679	0	ʂ ɨ p a		None
1128	leaf	Sharanawa	pɨi	pɨi	p ɨ + i	673	0	p ɨ + i		None
1129	leaf	Amawaka	mandi	mandi	m a ⁿd i	674	0	m a ⁿd i		None
1130	leaf	Nawa	pɨj	pɨj	p ɨ + j	673	0	p ɨ + j		None
1131	leaf	Marinawa	pɨj	pɨj	p ɨ + j	673	0	p ɨ + j		None
1132	leaf	Yaminawa	pɨj	pɨj	p ɨ + j	673	0	p ɨ + j		None
1133	leaf	Kashinawa_P	pɨj	pɨj	p ɨ + j	673	0	p ɨ + j		None
1134	leaf	Kashinawa_B	pɨy	pɨy	p ɨ + i	673	0	p ɨ + i		None
1135	flower	Matses	βakuɨ	βakuɨ	β a kʷ ɨ	454	0	β a k u ɨ		None
1136	flower	Matis	ua	wa	u a	448	0	- - - - u a		None
1137	flower	Marubo	wa	wa	w a	448	0	- - - - w a		None
1138	flower	Katukina	hawa	hawa	h a w a	451	0	h a w a		None
1139	flower	Shipibo_Konibo	hua	hua	h u a	448	0	- - - h u a		None
1140	flower	Kapanawa	hua	hua	h u a	448	0	- - - h u a		None
1141	flower	Arara	ua	ua	u a	448	0	- - - - u a		None
1142	flower	Shanenawa	nina	nina	n i n a	452	0	n i n a		None
1143	flower	Yawanawa	ua	ua	u a	448	0	- - - - u a		None
1144	flower	Poyanawa	tʃuku	tʃuku	tʃ u k u	453	0	tʃ u k u		None
1145	flower	Iskonawa	ua	ua	u a	448	0	- - - - u a		None
1146	flower	Chakobo	hua	hua	h u a	448	0	- - - h u a		None
1147	flower	Pakawara	hua	hua	h u a	448	0	- - - h u a		None
1148	flower	Kakataibo	rua	rua	u a	448	0	- - - - u a		None
1149	flower	Kaxarari	hihua	hihua	h i + h u a	448	0	h i + h u a		None
1150	flower	Mastanawa	ʧaɾu	ʧaɾu	tʃ a ɾ u	449	0	tʃ a ɾ u		None
1151	flower	Chaninawa	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u	449	0	tʃ a ɾ u		None
1152	flower	Sharanawa	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u	449	0	tʃ a ɾ u		None
1153	flower	Amawaka	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u	449	0	tʃ a ɾ u		None
1154	flower	Nawa	ʧaɾu	ʧaɾu	tʃ a ɾ u	449	0	tʃ a ɾ u		None
1155	flower	Marinawa	ʧaɾu	ʧaɾu	tʃ a ɾ u	449	0	tʃ a ɾ u		None
1156	flower	Yaminawa	ʧaɾu	ʧaɾu	tʃ a ɾ u	449	0	tʃ a ɾ u		None
1157	flower	Kashinawa_P	hwa	hwa	h u a	448	0	- - - h u a		None
1158	flower	Kashinawa_B	hua	hua	h u a	448	0	- - - h u a		None
1159	fruit (berry)	Matses	βakuɨ	βakuɨ	β a kʷ ɨ	489	0	β a k u ɨ		None
1160	fruit (berry)	Matis	tʃitʃo	tʃitʃo	tʃ i tʃ o	389	0	tʃ i tʃ o		None
1161	fruit (berry)	Marubo	βimi	βimi	β i m i	487	0	β i m - i		None
1162	fruit (berry)	Katukina	βimi	βimi	β i m i	487	0	β i m - i		None
1163	fruit (berry)	Kanamari	βimi	βimi	β i m i	487	0	β i m - i		None
1164	fruit (berry)	Shipibo_Konibo	βimi	βimi	β i m i	487	0	β i m - i		None
1165	fruit (berry)	Kapanawa	βimi	βimi	β i m i	487	0	β i m - i		None
1166	fruit (berry)	Arara	βimbi	βimbi	β i m b i	487	0	β i m b i		None
1167	fruit (berry)	Shanenawa	fimi	fimi	f i m i	487	0	f i m - i		None
1168	fruit (berry)	Yawanawa	βimi	βimi	β i m i	487	0	β i m - i		None
1169	fruit (berry)	Nukini	βimĩ	βimĩ	β i m ĩ	487	0	β i m - ĩ		None
1170	fruit (berry)	Poyanawa	ũxi	ũxi	ũ ʂ i	490	0	ũ x i		None
1171	fruit (berry)	Iskonawa	βimi	βimi	β i m i	487	0	β i m - i		None
1172	fruit (berry)	Chakobo	βimi	βimi	β i m i	487	0	β i m - i		None
1173	fruit (berry)	Pakawara	βimi	βimi	β i m i	487	0	β i m - i		None
1174	fruit (berry)	Kakataibo	βimi	βimi	β i m i	487	0	β i m - i		None
1175	fruit (berry)	Kaxarari	wimi	wimi	w i m i	487	0	w i m - i		None
1176	fruit (berry)	Mastanawa	ɸibi	ɸibi	ɸ i b i	487	0	ɸ i - b i		None
1177	fruit (berry)	Chaninawa	ɸibi	ɸibi	ɸ i b i	487	0	ɸ i - b i		None
1178	fruit (berry)	Sharanawa	ɸibi	ɸibi	ɸ i b i	487	0	ɸ i - b i		None
1179	fruit (berry)	Amawaka	wimbi	wimbi	w i m b i	487	0	w i m b i		None
1180	fruit (berry)	Nawa	ɸibi	ɸibi	ɸ i b i	487	0	ɸ i - b i		None
1181	fruit (berry)	Marinawa	ɸinbi	ɸinbi	ɸ i n b i	487	0	ɸ i n b i		None
1182	fruit (berry)	Yaminawa	ɸibi	ɸibi	ɸ i b i	487	0	ɸ i - b i		None
1183	fruit (berry)	Kashinawa_P	βimi	βimi	β i m i	487	0	β i m - i		None
1184	fruit (berry)	Kashinawa_B	βimi	βimi	β i m i	487	0	β i m - i		None
1185	seed	Matses	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1186	seed	Matis	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1187	seed	Marubo	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1188	seed	Katukina	hexhe	hexhe	h e ʂ e	999	0	h e x e		None
1189	seed	Kanamari	hɨsɨ	hɨsɨ	h ɨ s ɨ	999	0	h ɨ s ɨ		None
1190	seed	Shipibo_Konibo	βɨru	βɨru	β ɨ r u	1000	3	β ɨ r u		None
1191	seed	Kapanawa	βɨru	βɨru	β ɨ r u	1000	0	β ɨ r u		None
1192	seed	Arara	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1193	seed	Shanenawa	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1194	seed	Yawanawa	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1195	seed	Nukini	ɨhu	ɨhu	ɨ h u	999	0	- ɨ h u		None
1196	seed	Poyanawa	ɨhɨ	ɨhɨ	ɨ h ɨ	999	0	- ɨ h ɨ		None
1197	seed	Iskonawa	ɨhɨ	ɨhɨ	ɨ h ɨ	999	0	- ɨ h ɨ		None
1198	seed	Chakobo	βɨru	βɨru	β ɨ r u	1000	0	β ɨ r u		None
1199	seed	Pakawara	βiru	βiru	β i r u	1000	0	β i r u		None
1200	seed	Kakataibo	βɨru	βɨru	β ɨ r u	1000	0	β ɨ r u		None
1201	seed	Kaxarari	wanatu	wanatu	w a n a t u	1003	0	w a n a t u		None
1202	seed	Mastanawa	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1203	seed	Chaninawa	ɨʂi	ɨʂi	ɨ ʂ i	999	0	- ɨ ʂ i		None
1204	seed	Sharanawa	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1205	seed	Amawaka	hɨçɨ	hɨçɨ	h ɨ ç ɨ	999	0	h ɨ ç ɨ		None
1206	seed	Nawa	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1207	seed	Marinawa	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1208	seed	Yaminawa	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	999	0	- ɨ ʂ ɨ		None
1209	seed	Kashinawa_P	hɨʂɨ	hɨʂɨ	h ɨ ʂ ɨ	999	0	h ɨ ʂ ɨ		None
1210	seed	Kashinawa_B	hɨʂɨ	hɨʂɨ	h ɨ ʂ ɨ	999	0	h ɨ ʂ ɨ		None
1211	bark [of tree]	Matses	βitsi	βitsi	β i ts i	49	57	- - - β i ts i		None
1212	bark [of tree]	Matis	βidtsi	βidtsi	β i ts i	49	57	- - - β i ts i		None
1213	bark [of tree]	Marubo	ʂaka	ʂaka	ʂ a k a	48	46	ʂ a k a - -		None
1214	bark [of tree]	Shipibo_Konibo	ʂaka	ʂaka	ʂ a k a	48	46	ʂ a k a - -		None
1215	bark [of tree]	Shipibo_Konibo	βitʃi	βitʃi	β i tʃ i	49	57	- - - β i tʃ i		None
1216	bark [of tree]	Kapanawa	ʂaka	ʂaka	ʂ a k a	48	46	ʂ a k a - -		None
1217	bark [of tree]	Arara	ʃaka	ʃaka	ʃ a k a	48	46	ʃ a k a - -		None
1218	bark [of tree]	Shanenawa	ʂaka	ʂaka	ʂ a k a	48	46	ʂ a k a - -		None
1219	bark [of tree]	Nukini	haka	haka	h a k a	48	46	h a k a - -		None
1220	bark [of tree]	Poyanawa	haka	haka	h a k a	48	46	h a k a - -		None
1221	bark [of tree]	Iskonawa	βiʧi	βiʧi	β i tʃ i	49	57	- - - β i tʃ i		None
1222	bark [of tree]	Iskonawa	haka	haka	h a k a	48	46	h a k a - -		None
1223	bark [of tree]	Chakobo	ʂakata	ʂakata	ʂ a k a t a	48	46	ʂ a k a t a		None
1224	bark [of tree]	Chakobo	βitʃi	βitʃi	β i tʃ i	49	57	- - - β i tʃ i		None
1225	bark [of tree]	Kakataibo	ʂaka	ʂaka	ʂ a k a	48	46	ʂ a k a - -		None
1226	bark [of tree]	Mastanawa	hɨpu	hɨpu	h ɨ p u	51	56	h ɨ p u		None
1227	bark [of tree]	Chaninawa	ʂaka	ʂaka	ʂ a k a	48	46	ʂ a k a - -		None
1228	bark [of tree]	Sharanawa	pɨɸit͡ʃi	pɨɸit͡ʃi	p ɨ + ɸ i tʃ i	49	35 57	p ɨ + ɸ i tʃ i		None
1229	bark [of tree]	Amawaka	çaka	çaka	ç a k a	48	46	ç a k a - -		None
1230	bark [of tree]	Nawa	diditi	diditi	d i d i + t i	50	48	d i d i + t i		None
1231	bark [of tree]	Marinawa	pɨsi	pɨsi	p ɨ s i	52	47	p ɨ s i		None
1232	bark [of tree]	Yaminawa	ɸiʧi	ɸiʧi	ɸ i tʃ i	49	57	- - - ɸ i tʃ i		None
1233	bark [of tree]	Kashinawa_P	ʂaka	ʂaka	ʂ a k a	48	46	ʂ a k a - -		None
1234	bark [of tree]	Kashinawa_B	ʂaka	ʂaka	ʂ a k a	48	46	ʂ a k a - -		None
1235	stick [of wood]	Matses	kueste	kueste	k u e s + t e	1193	54 55	k u e s + t e		None
1236	stick [of wood]	Matis	kueste	kueste	k u e s + t e	1193	54 55	k u e s + t e		None
1237	stick [of wood]	Marubo	tʃinti	tʃinti	tʃ i n t i	1194	45	tʃ i n t i		None
1238	stick [of wood]	Shipibo_Konibo	hiwi	hiwi	h i w i	1191	69	h i w i		None
1239	stick [of wood]	Kapanawa	hiwi	hiwi	h i w i	1191	69	h i w i		None
1240	stick [of wood]	Arara	iwi	iwi	i w i	1191	69	- i w i		None
1241	stick [of wood]	Shanenawa	iɸi	iɸi	i ɸ i	1191	69	- i ɸ i		None
1242	stick [of wood]	Yawanawa	iβi	iβi	i β i	1191	69	- i β i		None
1243	stick [of wood]	Nukini	iβi	iβi	i β i	1191	69	- i β i		None
1244	stick [of wood]	Iskonawa	iwi	iwi	i w i	1191	69	- i w i		None
1245	stick [of wood]	Chakobo	hiwi	hiwi	h i w i	1191	69	h i w i		None
1246	stick [of wood]	Pakawara	iwi	iwi	i w i	1191	69	- i w i		None
1247	stick [of wood]	Kakataibo	i	i	i	1191	69	- i - -		None
1248	stick [of wood]	Kaxarari	hiwi	hiwi	h i w i	1191	69	h i w i		None
1249	stick [of wood]	Mastanawa	iwi	iwi	i w i	1191	69 68	- i w i		None
1250	stick [of wood]	Chaninawa	iβi	iβi	i β i	1191	69	- i β i		None
1251	stick [of wood]	Sharanawa	iwi	iwi	i w i	1191	69	- i w i		None
1252	stick [of wood]	Amawaka	hi	hi	h i	1191	69	h i - -		None
1253	stick [of wood]	Nawa	ibi	ibi	i b i	1191	69 68	- i b i		None
1254	stick [of wood]	Marinawa	ibi	ibi	i b i	1191	69	- i b i		None
1255	stick [of wood]	Yaminawa	ibi	ibi	i b i	1191	69	- i b i		None
1256	stick [of wood]	Kashinawa_P	hiʔ	hiʔ	h i ʔ	1191	69	h i ʔ -		None
1257	stick [of wood]	Kashinawa_B	hi	hi	h i	1191	69	h i - -		None
1258	ashes	Matses	isisapuk	isisapuk	i s i s + a + p u k	26	1541 39	- i s i s + - a - + p u k		None
1259	ashes	Matis	tsismapuk	tsismapuk	ts i s + m a + p u k	26	37 26 39	ts i s - - + m a - + p u k		None
1260	ashes	Marubo	miʃpu	miʃpu	m i ʃ + p u	26	1508 39	- - - - - - m i ʃ + p u -		None
1261	ashes	Shipibo_Konibo	tʃi mapu	tʃi mapu	tʃ i + m a + p u	26	1540 26 39	tʃ i - - - + m a - + p u -		None
1262	ashes	Kapanawa	tʃi mapu	tʃi mapu	tʃ i + m a + p u	26	1540 26 39	tʃ i - - - + m a - + p u -		None
1263	ashes	Arara	bapu	bapu	b a + p u	26	26 39	b a - - - + - - - - p u -		None
1264	ashes	Shanenawa	mapu	mapu	m a + p u	26	26 39	- - - - - - m a - + p u -		None
1265	ashes	Iskonawa	hɨna mapu	hɨna mapu	h ɨ n a + m a + p u	26	1539 26 39	h ɨ n a - + m a - + p u -		None
1266	ashes	Chakobo	tʃiʔimiʃpu	tʃi?imiʃpu	tʃ i ʔ i + m i ʃ + p u	26	1540 1508 39	tʃ i ʔ i - + m i ʃ + p u -		None
1267	ashes	Pakawara	miʃpu	miʃpu	m i ʃ + p u	26	1508 39	- - - - - - m i ʃ + p u -		None
1268	ashes	Kakataibo	tʃimapo	tʃimapo	tʃ i + m a + p o	26	1540 26 39	tʃ i - - - + m a - + p o -		None
1269	ashes	Kaxarari	mapuu	mapuu	m a + p uː	26	26 39	- - - - - - m a - + p uː -		None
1270	ashes	Mastanawa	bapu	bapu	b a + p u	26	26 39	- - - - - - b a + - p u -		None
1271	ashes	Chaninawa	βapu	βapu	β a + p u	26	26 39	β a - - - + - - - - p u -		None
1272	ashes	Sharanawa	t͡ʃibapu	t͡ʃibapu	tʃ i + b a + p u	26	1540 26 39	tʃ i - - - + b a - + p u -		None
1273	ashes	Amawaka	kuɾu	kuɾu	k u ɾ u	28	42	k u ɾ u		None
1274	ashes	Nawa	bapu	bapu	b a + p u	26	26 39	b a - - - + - - - - p u -		None
1275	ashes	Marinawa	bapu	bapu	b a + p u	26	26 39	- - - - - - b a - + p u -		None
1276	ashes	Yaminawa	bapu	bapu	b a + p u	26	26 39	b a - - - + - - - - p u -		None
1277	ashes	Kashinawa_P	mapu	mapu	m a + p u	26	26 39	- - - - - - m a - + p u -		None
1278	ashes	Kashinawa_B	tʃimapu	tʃimapu	tʃ i + m a + p u	26	1540 26 39	tʃ i - - - + m a - + p u -		None
1279	woods (forest)	Matses	nimɨduk	nimɨduk	n i + m ɨ d u k	1511	67	n i + m ɨ d u k		None
1280	woods (forest)	Matis	ni	ni	n i	1511	38	n i		None
1281	woods (forest)	Marubo	ni	ni	n i	1511	38	n i		None
1282	woods (forest)	Katukina	nii	nii	n iː	1511	38	n iː		None
1283	woods (forest)	Shipibo_Konibo	ni	ni	n i	1511	38	n i		None
1284	woods (forest)	Kapanawa	ni	ni	n i	1511	38	n i		None
1285	woods (forest)	Arara	di	di	d i	1511	50	d i - -		None
1286	woods (forest)	Shanenawa	ni	ni	n i	1511	38	n i		None
1287	woods (forest)	Yawanawa	ni	ni	n i	1511	38	n i		None
1288	woods (forest)	Nukini	hamu	hamu	h a m u	1517	60	h a m u		None
1289	woods (forest)	Poyanawa	di	di	d i	1511	50	d i		None
1290	woods (forest)	Iskonawa	ni	ni	n i	1511	38	n i		None
1291	woods (forest)	Chakobo	niʔi	ni?i	n i + ʔ i	1511	38 52	n i + ʔ i		None
1292	woods (forest)	Kakataibo	ni	ni	n i	1511	38	n i		None
1293	woods (forest)	Kaxarari	utʃa	utʃa	u tʃ a	1515	0	u tʃ a		None
1294	woods (forest)	Mastanawa	di:	di:	d iː	1511	50	d iː		None
1295	woods (forest)	Chaninawa	di:	di:	d iː	1511	50	d iː		None
1296	woods (forest)	Sharanawa	di	di	d i	1511	50	d i		None
1297	woods (forest)	Amawaka	niʔi	niʔi	n i + ʔ i	1511	38 52	n i + ʔ i		None
1298	woods (forest)	Nawa	di	di	d i	1511	50	d i		None
1299	woods (forest)	Marinawa	di	di	d i	1511	50	d i		None
1300	woods (forest)	Yaminawa	di	di	d i	1511	50	d i		None
1301	woods (forest)	Kashinawa_P	niβu	niβu	n i + β u	1511	38	n i + β u		None
1302	woods (forest)	Kashinawa_B	ni	ni	n i	1511	38	n i		None
1303	mountain	Matses	makuɨʂ	makuɨʂ	m a + k u ɨ ʂ	760	80 0	m a k u ɨ ʂ - -		None
1304	mountain	Matis	udukute	udukute	u d u k u t e	763	0	u d u k u t e		None
1305	mountain	Marubo	matʃi	matʃi	m a + tʃ i	741	80 82	m a + tʃ i - -		None
1306	mountain	Kanamari	matsi	matsi	m a + ts i	741	80 82	m a + ts i - -		None
1307	mountain	Shipibo_Konibo	manan	manan	m a + n a n	759	80 0	m a n a n		None
1308	mountain	Shipibo_Konibo	matu	matu	m a + t u	741	80 0	m a + t u - -		None
1309	mountain	Kapanawa	manan	manan	m a + n a n	759	80 0	m a n a n		None
1310	mountain	Kapanawa	matʃi	matʃi	m a + tʃ i	741	80 82	m a + tʃ i - -		None
1311	mountain	Arara	batʃi	batʃi	b a + tʃ i	741	82	b a + tʃ i - -		None
1312	mountain	Shanenawa	matʃi	matʃi	m a + tʃ i	741	80 82	m a + tʃ i - -		None
1313	mountain	Yawanawa	matʃi	matʃi	m a + tʃ i	741	80 82	m a + tʃ i - -		None
1314	mountain	Iskonawa	maʧi	maʧi	m a + tʃ i	741	80 82	m a + tʃ i - -		None
1315	mountain	Chakobo	maitɨmatʃi	maitɨmatʃi	m a + tʃ i	741	80 82	m a + tʃ i - -		None
1316	mountain	Pakawara	matʃiβa	matʃiβa	m a + tʃ i β a	741	80 82 0	m a + tʃ i β a		None
1317	mountain	Kakataibo	βaʃi	βaʃi	β a ʃ i	741	82	β a - ʃ i - -		None
1318	mountain	Kaxarari	mɨku	mɨku	m ɨ k u	758	0	m ɨ k u		None
1319	mountain	Kaxarari	mãkuʃai	mãkuʃai	m ã + k u ʃ a j	760	0	m ã k u - ʃ a i		None
1320	mountain	Kaxarari	karɨ	karɨ	k a r ɨ	761	0	k a r ɨ		None
1321	mountain	Mastanawa	bat͡ʃi	ɸat͡ʃi	b a + tʃ i	741	82	b a + tʃ i - -		None
1322	mountain	Chaninawa	bat͡ʃi	bat͡ʃi	b a + tʃ i	741	82	b a + tʃ i - -		None
1323	mountain	Sharanawa	diɸu	diɸu	d i ɸ u	752	0	d i ɸ u		None
1324	mountain	Amawaka	mat͡ʃi	mat͡ʃi	m a + tʃ i	741	80 82	m a + tʃ i - -		None
1325	mountain	Nawa	baʧi	baʧi	b a + tʃ i	741	80 82	b a + tʃ i - -		None
1326	mountain	Marinawa	baʧi	baʧi	b a + tʃ i	741	82	b a + tʃ i - -		None
1327	mountain	Yaminawa	baʧi	baʧi	b a + tʃ i	741	80 82	b a + tʃ i - -		None
1328	mountain	Kashinawa_P	mawa	mawa	m a + w a	756	80 0	m a w a -		None
1329	mountain	Kashinawa_B	matʃi	matʃi	m a + tʃ i	741	80 82	m a + tʃ i - -		None
1330	river	Matses	akte	akte	a k + t e	913	0	a k + t e		None
1331	river	Matis	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ	912	0	ʈʂ ɨ ʂ ɨ		None
1332	river	Marubo	waka	waka	w a k a	906	0	w a k a		None
1333	river	Katukina	nua	nua	n u a	908	0	n u a		None
1334	river	Kanamari	nua	nua	n u a	908	0	n u a		None
1335	river	Shipibo_Konibo	paru	paru	p a r u	907	0	p a r u		None
1336	river	Kapanawa	paru	paru	p a r u	907	0	p a r u		None
1337	river	Kapanawa	waka	waka	w a k a	906	0	w a k a		None
1338	river	Arara	βãka	βãka	β ã k a	906	0	β ã k a		None
1339	river	Shanenawa	waka	waka	w a k a	906	0	w a k a		None
1340	river	Yawanawa	βaka	βaka	β a k a	906	0	β a k a		None
1341	river	Poyanawa	waka	waka	w a k a	906	0	w a k a		None
1342	river	Iskonawa	waka	waka	w a k a	906	0	w a k a		None
1343	river	Chakobo	ani	ani	a n i	683	0	- a n i		None
1344	river	Pakawara	ʔani	?ani	ʔ a n i	683	0	ʔ a n i		None
