ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	MORPHEMES	COGID	BODY	BODYID
4235	Shanenawa	few	itʃa	itʃa	i tʃ a			384	[]	1
4236	Yawanawa	few	itʃapama	itʃapama	i tʃ a p a m a			384	[]	1
4237	Nukini	few	piʃta	piʃta	p i ʃ t a			384	[]	1
4238	Poyanawa	few	βakiru	βakiru	β a k i r u			390	[]	1
4239	Iskonawa	few	haranahaku	haranahaku	h a r a n a h a k u			386	[]	1
4240	Chakobo	few	itʃara-ma	itʃarama	i tʃ a r a m a			384	[]	1
4241	Kakataibo	few	tɨʂɨ	tɨʂɨ	t ɨ ʂ ɨ			387	[]	1
4242	Kaxarari	few	lakima	lakima	l a k i m a			384	[]	1
4243	Mastanawa	few	iʧapaʂta	iʧapaʂta	i tʃ a p a ʂ t a			384	[]	1
4244	Chaninawa	few	it͡ʃapaba	it͡ʃapaba	i tʃ a p a b a			384	[]	1
4245	Sharanawa	few	it͡ʃapaʃta	it͡ʃapaʃta	i tʃ a p a ʃ t a			384	[]	1
4246	Amawaka	few	ɾawɨ piʃta	ɾawɨ piʃta	ɾ a w ɨ + p i ʃ t a			384	[]	1
4247	Nawa	few	iʧapabaʃta	iʧapabaʃta	i tʃ a p a b a ʃ t a			384	[]	1
4248	Marinawa	few	iʧapa baʂta	iʧapabaʂta	i tʃ a p a b a ʂ t a			384	[]	1
4249	Marinawa	few	iʧapa baiʃta	iʧapabaiʃta	i tʃ a p a b a i ʃ t a			384	[]	1
4250	Yaminawa	few	iʧapaba	iʧapaba	i tʃ a p a b a			384	[]	1
4251	Kashinawa_P	few	iʧapama	iʧapama	i tʃ a p a m a			384	[]	1
4252	Kashinawa_B	few	mawɨdama	mawɨdama	m a w ɨ d a m a			384	[]	1
4253	Araona	few	beta	beta	b e t a			315	[]	1
4254	Araona	few	zeiye	zeiye	z e i j e			391	[]	1
2722	Matses	fight	kues-nan	kuesnan	k u e s + n a n			395	[]	1
2723	Matis	fight	kues-nan	kuesnan	k u e s + n a n			395	[]	1
2724	Marubo	fight	wɨakinan	wɨakinan	w ɨ a k i n a n			393	[]	1
2725	Shipibo_Konibo	fight	rɨtianan	rɨtianan	r ɨ t i + a n a n			394	[]	1
2726	Kapanawa	fight	rɨtɨnankan	rɨtɨnankan	r ɨ t ɨ + n a n + k a n			392	[]	1
2727	Poyanawa	fight	ikina	ikina	i k i n a			321	[]	1
2728	Iskonawa	fight	muʃa	muʃa	m u ʃ a			396	[]	1
2729	Chakobo	fight	niana	niana	n i a n a			393	[]	1
2730	Chakobo	fight	ikina	ikina	i k i n a			321	[]	1
2731	Kakataibo	fight	mɨanan	mɨanan	m ɨ + a n a n			393	[]	1
2732	Mastanawa	fight	ʂɨtɨna	ʂɨtɨna	ʂ ɨ t ɨ + n a			392	[]	1
2733	Chaninawa	fight	sɨtɨnan	sɨtɨnan	s ɨ t ɨ n a n			392	[]	1
2734	Sharanawa	fight	t͡sɨtɨnaka	t͡sɨtɨnaka	ts ɨ t ɨ n a k a			392	[]	1
2735	Amawaka	fight	mɨʔɨna	mɨʔɨna	m ɨ ʔ ɨ + n a			316	[]	1
2736	Nawa	fight	ʂɨtɨnaj	ʂɨtɨnaj	ʂ ɨ t ɨ + n a			392	[]	1
2737	Marinawa	fight	ʂɨtɨna	ʂɨtɨna	ʂ ɨ t ɨ + n a			392	[]	1
2738	Yaminawa	fight	ʂɨtɨna	ʂɨtɨna	ʂ ɨ t ɨ + n a			392	[]	1
2739	Kashinawa_P	fight	dɨtja	dɨti	d ɨ t i			398	[]	1
2740	Kashinawa_P	fight	ʂutu	ʂɨtɨ	ʂ ɨ t ɨ			400	[]	1
1476	Matses	fire	kuɨte	kuɨte	k u ɨ + t e			403	[]	1
1477	Matis	fire	mɨʂte	mɨʂte	m ɨ ʂ + t e			409	[]	1
1478	Marubo	fire	tʃi	tʃi	tʃ i			402	[]	1
1479	Katukina	fire	tii	tii	t iː			402	[]	1
1480	Kanamari	fire	tʃi?i	tʃiʔi	tʃ i ʔ i			402	[]	1
1481	Shipibo_Konibo	fire	tʃi	tʃi	tʃ i			402	[]	1
1482	Kapanawa	fire	tʃii	tʃii	tʃ iː			402	[]	1
1483	Shanenawa	fire	tʃi	tʃi	tʃ i			402	[]	1
1484	Yawanawa	fire	tʃi	tʃi	tʃ i			402	[]	1
1485	Nukini	fire	huspiti	huspiti	h u s p i t i			408	[]	1
1486	Nukini	fire	iʃi	iʃi	i ʃ i			402	[]	1
1487	Poyanawa	fire	ikutimba	ikutimba	i k u t i m b a			407	[]	1
1488	Iskonawa	fire	hɨna	hɨna	h ɨ n a			410	[]	1
1489	Chakobo	fire	tʃi?i	tʃiʔi	tʃ i ʔ i			402	[]	1
1490	Pakawara	fire	tʃi?i	tʃiʔi	tʃ i ʔ i			402	[]	1
1491	Kakataibo	fire	tsi	tsi	ts i			402	[]	1
1492	Kaxarari	fire	tʃi	tʃi	tʃ i			402	[]	1
1493	Mastanawa	fire	ʧi	ʧi	tʃ i			402	[]	1
1494	Chaninawa	fire	t͡ʃi:	t͡ʃi:	tʃ iː			402	[]	1
1495	Sharanawa	fire	t͡ʃi	t͡ʃi	tʃ i			402	[]	1
1496	Amawaka	fire	t͡ʃiʔi	t͡ʃiʔi	tʃ i ʔ i			402	[]	1
1497	Nawa	fire	ʧi	ʧi	tʃ i			402	[]	1
1498	Marinawa	fire	ʧi	ʧi	tʃ i			402	[]	1
1499	Yaminawa	fire	ʧi	ʧi	tʃ i			402	[]	1
1500	Kashinawa_P	fire	ʧi	ʧi	tʃ i			402	[]	1
1501	Kashinawa_B	fire	tʃi	tʃi	tʃ i			402	[]	1
1502	Araona	fire	kuati	kuati	k u a t i			403	[]	1
103	Matses	fish [noun]	nuɨkkid	nuɨkkid	n u ɨ + k i d			418	[]	1
104	Matis	fish [noun]	tʃapa	tʃapa	tʃ a p a			357	[]	1
105	Marubo	fish [noun]	japa	japa	j a p a			357	[]	1
106	Katukina	fish [noun]	tsatsa	tsatsa	ts a ts a			416	[]	1
107	Shipibo_Konibo	fish [noun]	yapa	yapa	j a p a			357	[]	1
108	Kapanawa	fish [noun]	yapa	yapa	j a p a			357	[]	1
109	Shanenawa	fish [noun]	iʂkin	iʂkin	i ʂ k i n			421	[]	1
110	Yawanawa	fish [noun]	juma	juma	j u m a			412	[]	1
111	Nukini	fish [noun]	naʂtu	naʂtu	n a ʂ t u			419	[]	1
112	Nukini	fish [noun]	kawa	kawa	k a w a			415	[]	1
113	Poyanawa	fish [noun]	jumã	jumã	j u m ã			412	[]	1
114	Iskonawa	fish [noun]	juma	juma	j u m a			412	[]	1
115	Chakobo	fish [noun]	yapa	yapa	j a p a			357	[]	1
116	Pakawara	fish [noun]	saninu	saninu	s a n i + n u			420	[]	1
117	Kakataibo	fish [noun]	ɲapa	tsatsa	ts a ts a			412	[]	1
118	Kaxarari	fish [noun]	mailu	mailu	m a i l u			417	[]	1
119	Mastanawa	fish [noun]	ʃima	ʃima	ʃ i m a			413	[]	1
120	Chaninawa	fish [noun]	ʃima	ʃima	ʃ i m a			413	[]	1
121	Chaninawa	fish [noun]	βaka	βaka	β a k a			415	[]	1
122	Sharanawa	fish [noun]	ʃima	ʃima	ʃ i m a			413	[]	1
123	Amawaka	fish [noun]	jumba	jumba	j u ⁿb a			412	[]	1
124	Nawa	fish [noun]	ʃima	ʃima	ʃ i m a			413	[]	1
125	Marinawa	fish [noun]	ʃima	ʃima	ʃ i m a			413	[]	1
126	Yaminawa	fish [noun]	huwɨ	huwɨ	h u w ɨ			422	[]	1
127	Kashinawa_P	fish [noun]	βaka	βaka	β a k a			415	[]	1
128	Kashinawa_B	fish [noun]	βaka	βaka	β a k a			415	[]	1
129	Araona	fish [noun]	jae	jae	j a e			414	[]	1
2255	Matses	float	nuad	nuad	n u a d			425	[]	1
2256	Matis	float	nuad	nuad	n u a d			425	[]	1
2257	Marubo	float	nunu	nunu	n u n u			424	[]	1
2258	Shipibo_Konibo	float	tuʂβa	tuʂβa	t u ʂ β a			426	[]	1
2259	Kapanawa	float	nunu	nunu	n u n u			424	[]	1
2260	Kapanawa	float	tuʂβa	tuʂβa	t u ʂ β a			426	[]	1
2261	Iskonawa	float	nunu	nunu	n u n u			424	[]	1
2262	Chakobo	float	nunu	nunu	n u n u			424	[]	1
2263	Kakataibo	float	βɨspo	βɨspo	β ɨ s p o			430	[]	1
2264	Mastanawa	float	dudua	dudua	d u d u a			424	[]	1
2265	Chaninawa	float	dudu	dudu	d u d u			424	[]	1
2266	Sharanawa	float	dudu	dudu	d u d u			424	[]	1
2267	Amawaka	float	nundu	nundu	n u ⁿd u			424	[]	1
2268	Nawa	float	tupi	tupi	t u p i			431	[]	1
2269	Marinawa	float	dunduj	dunduj	d u ⁿd u j			424	[]	1
2270	Yaminawa	float	dudua	dudua	d u d u a			424	[]	1
2271	Kashinawa_P	float	nunwa	nunwa	n u n w a			424	[]	1
2272	Araona	float	beza	beza	b e z a			427	[]	1
2273	Araona	float	zata	zata	z a t a			432	[]	1
2367	Matses	flow	tʂɨwɨd	tʂɨwɨd	ʈʂ ɨ w ɨ d			439	[]	1
2368	Matis	flow	ʂuke	ʂuke	ʂ u k e			435	[]	1
2369	Marubo	flow	aβa	aβa	a β a			440	[]	1
2370	Shipibo_Konibo	flow	iʃtua	iʃtua	i ʃ t u a			437	[]	1
2371	Kapanawa	flow	ɨnɨ βaii	ɨnɨ aβa	ɨ n ɨ + a β a			445	[]	1
2372	Iskonawa	flow	hu hu ik	hu hu ik	h u + h u + i k			441	[]	1
2373	Chakobo	flow	wawa	wawa	w a w a			443	[]	1
2374	Kakataibo	flow	ʔiβu	aβa	a β a			446	[]	1
2375	Mastanawa	flow	sibɨj	sinbɨ	s i n b ɨ			434	[]	1
2376	Chaninawa	flow	kuʃi	kuʃi	k u ʃ i			433	[]	1
2377	Sharanawa	flow	ɸu	ɸu	ɸ u			438	[]	1
2378	Amawaka	flow	ka	ka	k a			447	[]	1
2379	Nawa	flow	pukɨ	pukɨ	p u k ɨ			379	[]	1
2380	Marinawa	flow	kuʃi	kuʃi	k u ʃ i			433	[]	1
2381	Marinawa	flow	sinbɨ	sinbɨ	s i n b ɨ			434	[]	1
2382	Yaminawa	flow	kuʃi	kuʃi	k u ʃ i			433	[]	1
2383	Kashinawa_P	flow	kuʃi	kuʃi	k u ʃ i			433	[]	1
1151	Matses	flower	βakuɨ	βakuɨ	β a k u ɨ			454	[]	1
1152	Matis	flower	wa	ua	u a			451	[]	1
1153	Marubo	flower	wa	wa	w a			451	[]	1
1154	Katukina	flower	hawa	hawa	h a w a			451	[]	1
1155	Shipibo_Konibo	flower	hua	hua	h u a			448	[]	1
1156	Kapanawa	flower	hua	hua	h u a			448	[]	1
1157	Shanenawa	flower	nina	nina	n i n a			452	[]	1
1158	Yawanawa	flower	ua	ua	u a			448	[]	1
1159	Poyanawa	flower	tʃuku	tʃuku	tʃ u k u			453	[]	1
1160	Iskonawa	flower	ua	ua	u a			448	[]	1
1161	Chakobo	flower	hua	hua	h u a			448	[]	1
1162	Pakawara	flower	hua	hua	h u a			448	[]	1
1163	Kakataibo	flower	rua	rua	u a			449	[]	1
1164	Kaxarari	flower	hihua	hihua	h i + h u a			448	[]	1
1165	Mastanawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u			449	[]	1
1166	Chaninawa	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u			449	[]	1
1167	Sharanawa	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u			449	[]	1
1168	Amawaka	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u			449	[]	1
1169	Nawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u			449	[]	1
1170	Marinawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u			449	[]	1
1171	Yaminawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u			449	[]	1
1172	Kashinawa_P	flower	hwa	hwa	h u a			448	[]	1
1173	Kashinawa_B	flower	hua	hua	h u a			448	[]	1
1174	Araona	flower	etsa	etsa	e ts a			455	[]	1
2320	Matses	fly [verb]	kapu	kapu	k a + p u			457	[]	1
2321	Matis	fly [verb]	kapo	kapo	k a + p o			457	[]	1
2322	Marubo	fly [verb]	nuja	nuja	n u j a			456	[]	1
2323	Shipibo_Konibo	fly [verb]	nuya	nuya	n u j a			456	[]	1
2324	Kapanawa	fly [verb]	nuya	nuya	n u j a			456	[]	1
2325	Shanenawa	fly [verb]	nuja	nuja	n u j a			456	[]	1
2326	Yawanawa	fly [verb]	nuja	nuja	n u j a			456	[]	1
2327	Poyanawa	fly [verb]	jũnda	jũnda	j ũ ⁿd a			459	[]	1
2328	Iskonawa	fly [verb]	juna	juna	j u n a			459	[]	1
2329	Chakobo	fly [verb]	nuya	nuya	n u j a			456	[]	1
2330	Kakataibo	fly [verb]	noan	noan	n o a n			456	[]	1
2331	Kaxarari	fly [verb]	hatʃakikɨ	hatʃakikɨ	h a tʃ a k i k ɨ			462	[]	1
2332	Mastanawa	fly [verb]	duʔujaj	duʔujai	d u ʔ u j a i			456	[]	1
2333	Chaninawa	fly [verb]	duja	duja	d u j a			456	[]	1
2334	Sharanawa	fly [verb]	duja	duja	d u j a			456	[]	1
2335	Amawaka	fly [verb]	maka	maka	m a k a			464	[]	1
2336	Nawa	fly [verb]	duja	duja	d u j a			456	[]	1
2337	Marinawa	fly [verb]	duja	duja	d u j a			456	[]	1
2338	Yaminawa	fly [verb]	jujaj	jujaj	j u j a j			456	[]	1
2339	Kashinawa_P	fly [verb]	nuja	nuja	n u j a			456	[]	1
2340	Kashinawa_B	fly [verb]	nuja	nuja	n u j a			456	[]	1
2341	Araona	fly [verb]	kuabetsa	kuabetsa	k u a b e ts a			458	[]	1
1656	Matses	fog	senadɨn kuɨte	senadɨn kuɨte	s e n a d ɨ n + k u ɨ + t e			476	[]	1
1657	Matis	fog	nɨʂo βɨjunwate	nɨʂo βɨjunwate	n ɨ ʂ o + β ɨ j u n w a t e			477	[]	1
1658	Marubo	fog	wiʃnan	wiʃnan	w i ʃ n a n			467	[]	1
1659	Katukina	fog	ixinna	ixinna	i x/ʂ i n n a			467	[]	1
1660	Shipibo_Konibo	fog	niʃβi	niʃβi	n i ʂ β i			465	[]	1
1661	Kapanawa	fog	nɨtɨ kuru	nɨtɨ kuru	n ɨ t ɨ + k u r u			381	[]	1
1662	Shanenawa	fog	kuĩ	kuĩ	k u ĩ			466	[]	1
1663	Iskonawa	fog	kuin	kuin	k u i n			466	[]	1
1664	Iskonawa	fog	bishai	bishai	b i ʃ a i			473	[]	1
1665	Chakobo	fog	kuru	kuru	k u r u			381	[]	1
1666	Kakataibo	fog	kwenkuru	kwenkuru	kʷ e n k u r u			468	[]	1
1667	Kaxarari	fog	waikuʂuʂi	waikuʂuʂi	w a i k u ʂ u ʂ i			478	[]	1
1668	Mastanawa	fog	kũĩ	kũĩ	k ũ ĩ			466	[]	1
1669	Chaninawa	fog	diʃɸi	diʃɸi	d i ʂ ɸ i			465	[]	1
1670	Sharanawa	fog	diɸĩ	diɸĩ	d i ɸ ĩ			465	[]	1
1671	Amawaka	fog	nɨçbi	nɨçbi	n ɨ ç b i			465	[]	1
1672	Nawa	fog	kuwĩ	kuwĩ	k u w ĩ			466	[]	1
1673	Marinawa	fog	diʃɸu	diʃɸu	d i ʃ ɸ u			465	[]	1
1674	Yaminawa	fog	kũwi	kũwi	k ũ w i			466	[]	1
1675	Kashinawa_P	fog	asnɨ	asnɨ	a s n ɨ			479	[]	1
1676	Kashinawa_B	fog	βahnɨ	βahnɨ	β a h n ɨ			480	[]	1
1677	Araona	fog	baepa mozizi	baepa mozizi	b a e p a + m o z i z i			471	[]	1
1678	Araona	fog	moso	moso	m o s o			474	[]	1
835	Matses	foot	taɨ	taɨ	t a + ɨ			483	[]	1
836	Matis	foot	taɨ	taɨ	t a + ɨ			483	[]	1
837	Marubo	foot	taɨ	taɨ	t a + ɨ			483	[]	1
838	Katukina	foot	tae	tae	t a + e			483	[]	1
839	Kanamari	foot	ta?ɨ	taʔɨ	t a + ʔ ɨ			483	[]	1
840	Shipibo_Konibo	foot	taɨ	taɨ	t a + ɨ			483	[]	1
841	Kapanawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
842	Shanenawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
843	Yawanawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
844	Nukini	foot	taɨ	taɨ	t a + ɨ			483	[]	1
845	Poyanawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
846	Iskonawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
847	Chakobo	foot	ta?ɨ	taʔɨ	t a + ʔ ɨ			483	[]	1
848	Pakawara	foot	ta?ɨ	taʔɨ	t a + ʔ ɨ			483	[]	1
849	Kakataibo	foot	taɨ	taɨ	t a + ɨ			483	[]	1
850	Kaxarari	foot	taɨ	taɨ	t a + ɨ			483	[]	1
851	Mastanawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
852	Chaninawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
853	Sharanawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
854	Amawaka	foot	taʔɨ	taʔɨ	t a + ʔ ɨ			483	[]	1
855	Nawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
856	Marinawa	foot	uʂpaɾu	uʂpaɾu	u ʂ p a ɾ u			485	[]	1
857	Yaminawa	foot	taɨ	taɨ	t a + ɨ			483	[]	1
858	Kashinawa_P	foot	taɨ	taɨ	t a + ɨ			483	[]	1
859	Kashinawa_B	foot	taɨ	taɨ	t a + ɨ			483	[]	1
860	Araona	foot	wac̷i	wac̷i	w a tʃ i			484	[]	1
1175	Matses	fruit (berry)	βakuɨ	βakuɨ	β a k u ɨ			489	[]	1
1176	Matis	fruit (berry)	tʃitʃo	tʃitʃo	tʃ i tʃ o			389	[]	1
1177	Marubo	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1178	Katukina	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1179	Kanamari	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1180	Shipibo_Konibo	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1181	Kapanawa	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1182	Shanenawa	fruit (berry)	fimi	fimi	f i m i			487	[]	1
1183	Yawanawa	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1184	Nukini	fruit (berry)	βimĩ	βimĩ	β i m ĩ			487	[]	1
1185	Poyanawa	fruit (berry)	ũxi	ũxi	ũ x/ʂ i			490	[]	1
1186	Iskonawa	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1187	Chakobo	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1188	Pakawara	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1189	Kakataibo	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1190	Kaxarari	fruit (berry)	wimi	wimi	w i m i			487	[]	1
1191	Mastanawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i			487	[]	1
1192	Chaninawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i			487	[]	1
1193	Sharanawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i			487	[]	1
1194	Amawaka	fruit (berry)	wimbi	wimbi	w i m b i			487	[]	1
1195	Nawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i			487	[]	1
1196	Marinawa	fruit (berry)	ɸinbi	ɸinbi	ɸ i n b i			487	[]	1
1197	Yaminawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i			487	[]	1
1198	Kashinawa_P	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1199	Kashinawa_B	fruit (berry)	βimi	βimi	β i m i			487	[]	1
1200	Araona	fruit (berry)	jaja	jaja	j a j a			488	[]	1
2453	Matses	give	mene	mene	m e + n e			496	[]	1
2454	Matis	give	mene	mene	m e n e			496	[]	1
2455	Marubo	give	ina	ina	i n a			491	[]	1
2456	Katukina	give	ina	ina	i n a			491	[]	1
2457	Shipibo_Konibo	give	mɨni	mɨni	m ɨ n i			496	[]	1
2458	Kapanawa	give	inan	inan	i n a n			491	[]	1
2459	Shanenawa	give	inan	inan	i n a n			491	[]	1
2460	Yawanawa	give	inan	inan	i n a n			491	[]	1
2461	Poyanawa	give	inan	inan	i n a n			491	[]	1
2462	Iskonawa	give	mini	mini	m i n i			496	[]	1
2463	Iskonawa	give	inan	inan	i n a n			491	[]	1
2464	Chakobo	give	mɨ	mɨ	m ɨ			496	[]	1
2465	Kakataibo	give	ʔinan	ʔinan	ʔ i n a n			491	[]	1
2466	Mastanawa	give	ina	ina	i n a			491	[]	1
2467	Chaninawa	give	inan	inan	i n a n			491	[]	1
2468	Sharanawa	give	inan	inan	i n a n			491	[]	1
2469	Amawaka	give	ina	inan	i n a n			491	[]	1
2470	Nawa	give	ina	ina	i n a			491	[]	1
2471	Marinawa	give	ina	ina	i n a			491	[]	1
2472	Yaminawa	give	biʔdi	bidi	b i d i			496	[]	1
2473	Kashinawa_P	give	inan	inan	i n a n			491	[]	1
2474	Araona	give	ti	ti	t i			497	[]	1
2475	Araona	give	siji	siji	s i j i			497	[]	1
3777	Matses	good	βɨda	βɨda	β ɨ d a			503	[]	1
3778	Matis	good	βɨda	βɨda	β ɨ d a			503	[]	1
3779	Marubo	good	rua	rua	r u a			499	[]	1
3780	Katukina	good	rua-pa	ruapa	r u a p a			499	[]	1
3781	Shipibo_Konibo	good	hakun	hakun	h a k u n			502	[]	1
3782	Kapanawa	good	siri	siri	s i r i			498	[]	1
3783	Kapanawa	good	hakun	hakun	h a k u n			502	[]	1
3784	Shanenawa	good	ʂaraka	ʃaraka	ʃ a r a k a			498	[]	1
3785	Yawanawa	good	ʃara	ʃara	ʃ a r a			498	[]	1
3786	Nukini	good	iru	iru	i r u			499	[]	1
3787	Poyanawa	good	iru	iru	i r u			499	[]	1
3788	Iskonawa	good	iru	iru	i r u			499	[]	1
3789	Chakobo	good	hia	hia	h i a			506	[]	1
3790	Kakataibo	good	upi	upi	u p i			500	[]	1
3791	Kaxarari	good	tsuwi	tsuwi	ts u w i			505	[]	1
3792	Mastanawa	good	ʂaɾa	ʃaɾa	ʂ a ɾ a			498	[]	1
3793	Chaninawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a			498	[]	1
3794	Sharanawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a			498	[]	1
3795	Amawaka	good	ʃaɾa	ʃaɾa	ʃ a ɾ a			498	[]	1
3796	Nawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a			498	[]	1
3797	Marinawa	good	ʂaɾa	ʃaɾa	ʂ a ɾ a			498	[]	1
3798	Yaminawa	good	ʂaɾa	ʃaɾa	ʃ a ɾ a			498	[]	1
3799	Yaminawa	good	ʂala	ʃala	ʃ a l a			498	[]	1
3800	Kashinawa_P	good	pɨ	pɨ	p ɨ			500	[]	1
3801	Kashinawa_B	good	pi	pi	p i			500	[]	1
3802	Araona	good	jaidya	jaidya	j a i d j a			506	[]	1
182	Matses	grass	wasin	wasin	w a s i n			508	[]	1
183	Matis	grass	wesin	wesin	w e s i n			508	[]	1
184	Marubo	grass	wasi	wasi	w a s i			508	[]	1
185	Shipibo_Konibo	grass	wasi	wasi	w a s i			508	[]	1
186	Kapanawa	grass	wasi	wasi	w a s i			508	[]	1
187	Shanenawa	grass	wasi	wasi	w a s i			508	[]	1
188	Iskonawa	grass	wãsi	wãsi	w ã s i			508	[]	1
189	Chakobo	grass	wasi	wasi	w a s i			508	[]	1
190	Pakawara	grass	tsiki	tsiki	ts i k i			510	[]	1
191	Kakataibo	grass	ʂuβi	ʂuβi	ʂ u β i			512	[]	1
192	Kaxarari	grass	wasai	wasai	w a s a i			508	[]	1
193	Mastanawa	grass	ɸasi	ɸasi	ɸ a s i			508	[]	1
194	Chaninawa	grass	ɸasi	ɸasi	ɸ a s i			508	[]	1
195	Sharanawa	grass	ɸasi	ɸasi	ɸ a s i			508	[]	1
196	Amawaka	grass	wasi	wasi	w a s i			508	[]	1
197	Nawa	grass	ɸasi	ɸasi	ɸ a s i			508	[]	1
198	Marinawa	grass	ʧaka	ʧaka	tʃ a k a			511	[]	1
199	Yaminawa	grass	ɸasi	ɸasi	ɸ a s i			508	[]	1
200	Kashinawa_P	grass	asi	asi	a s i			508	[]	1
201	Araona	grass	notsa	notsa	n o ts a			481	[]	1
3701	Matses	green [color]	umu	umu	u m u			517	[]	1
3702	Matis	green [color]	ɨmu	ɨmu	ɨ m u			517	[]	1
3703	Marubo	green [color]	ʂanɨ	ʂanɨ	ʂ a n ɨ			526	[]	1
3704	Katukina	green [color]	shau	shau	ʃ a u			530	[]	1
3705	Shipibo_Konibo	green [color]	yankun	yankun	j a n k u n			518	[]	1
3706	Kapanawa	green [color]	yankun	yankun	j a n k u n			518	[]	1
3707	Shanenawa	green [color]	ʂu	ʂu	ʂ u			530	[]	1
3708	Yawanawa	green [color]	ʂuku	ʂuku	ʂ u k u			530	[]	1
3709	Nukini	green [color]	huku	huku	h u k u			530	[]	1
3710	Poyanawa	green [color]	ikamba	ikamba	i k a m b a			524	[]	1
3711	Iskonawa	green [color]	ho	ho	h o			530	[]	1
3712	Chakobo	green [color]	niaβa	niaβa	n i a β a			516	[]	1
3713	Kakataibo	green [color]	kurua	ʂu	ʂ u			519	[]	1
3714	Kaxarari	green [color]	yara	yara	j a r a			527	[]	1
3715	Mastanawa	green [color]	ʂu	ʂu	ʂ u			530	[]	1
3716	Chaninawa	green [color]	ʂu	ʂu	ʂ u			530	[]	1
3717	Sharanawa	green [color]	ʂu	ʂu	ʂ u			530	[]	1
3718	Amawaka	green [color]	nawa	nawa	n a w a			492	[]	1
3719	Nawa	green [color]	tuna	tuna	t u n a			525	[]	1
3720	Marinawa	green [color]	ʂu	ʂu	ʂ u			530	[]	1
3721	Yaminawa	green [color]	paʂa	paʂa	p a ʂ a			522	[]	1
3722	Yaminawa	green [color]	ʂu	ʂu	ʂ u			530	[]	1
3723	Kashinawa_P	green [color]	nankɨ	nankɨ	n a n k ɨ			528	[]	1
3724	Kashinawa_B	green [color]	huʂiama	huʂiama	h u ʂ i a m a			529	[]	1
3725	Araona	green [color]	asawalili	asawalili	a s a w a l i l i			520	[]	1
3726	Araona	green [color]	zowiwi	zowiwi	z o w i w i			521	[]	1
960	Matses	guts	puku	puku	p u k u			534	[]	1
961	Matis	guts	puku	puku	p u k u			534	[]	1
962	Marubo	guts	puku	puku	p u k u			534	[]	1
963	Katukina	guts	puku	puku	p u k u			534	[]	1
964	Shipibo_Konibo	guts	puku	puku	p u k u			534	[]	1
965	Kapanawa	guts	puku	puku	p u k u			534	[]	1
966	Shanenawa	guts	puku	puku	p u k u			534	[]	1
967	Yawanawa	guts	puku	puku	p u k u			534	[]	1
968	Nukini	guts	puku	puku	p u k u			534	[]	1
969	Poyanawa	guts	βɨtɨh	βɨtɨh	β ɨ t ɨ h			536	[]	1
970	Iskonawa	guts	puku	puku	p u k u			534	[]	1
971	Chakobo	guts	puku	puku	p u k u			534	[]	1
972	Kakataibo	guts	puku	puku	p u k u			534	[]	1
973	Mastanawa	guts	puʔu	puʔu	p u ʔ u			534	[]	1
974	Chaninawa	guts	puku	puku	p u k u			534	[]	1
975	Sharanawa	guts	puku	puku	p u k u			534	[]	1
976	Amawaka	guts	puku	puku	p u k u			534	[]	1
977	Nawa	guts	puku	puku	p u k u			534	[]	1
978	Marinawa	guts	puku	puku	p u k u			534	[]	1
979	Yaminawa	guts	puʔu	puʔu	p u ʔ u			534	[]	1
980	Kashinawa_P	guts	puku	puku	p u k u			534	[]	1
