ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	MORPHEMES	COGID	BODY	BODYID
1281	Chakobo	ashes	tʃi?imiʃpu	tʃiʔimiʃpu	tʃ i ʔ i + m i ʃ + p u			26	[]	1
1282	Pakawara	ashes	miʃpu	miʃpu	m i ʃ + p u			26	[]	1
1283	Kakataibo	ashes	tʃimapo	tʃimapo	tʃ i + m a + p o			26	[]	1
1284	Kaxarari	ashes	mapuu	mapuu	m a + p uː			26	[]	1
1285	Mastanawa	ashes	bapu	bapu	b a + p u			26	[]	1
1286	Chaninawa	ashes	βapu	βapu	β a + p u			26	[]	1
1287	Sharanawa	ashes	t͡ʃibapu	t͡ʃibapu	tʃ i + b a + p u			26	[]	1
1288	Amawaka	ashes	kuɾu	kuɾu	k u + ɾ u			28	[]	1
1289	Nawa	ashes	bapu	bapu	b a + p u			26	[]	1
1290	Marinawa	ashes	bapu	bapu	b a + p u			26	[]	1
1291	Yaminawa	ashes	bapu	bapu	b a + p u			26	[]	1
1292	Kashinawa_P	ashes	mapu	mapu	m a + p u			26	[]	1
1293	Kashinawa_B	ashes	tʃimapu	tʃimapu	tʃ i + m a + p u			26	[]	1
1294	Araona	ashes	timo	timo	t i + m o			27	[]	1
729	Matses	back [of body]	katʂo	katʂo	k a + ʈʂ o			32	[]	1
730	Matis	back [of body]	kaʂuku	kaʂuku	k a + ʂ u k u			32	[]	1
731	Marubo	back [of body]	kaʂu	kaʂu	k a + ʂ u			32	[]	1
732	Katukina	back [of body]	pimana	pimana	p i + m a n a			30	[]	1
733	Kanamari	back [of body]	kaʃo	kaʃo	k a + ʃ o			32	[]	1
734	Shipibo_Konibo	back [of body]	pɨka	pɨka	p ɨ + k a			30	[]	1
735	Kapanawa	back [of body]	pɨka	pɨka	p ɨ + k a			30	[]	1
736	Shanenawa	back [of body]	pustʃi	pɨstʃi	p ɨ + s tʃ i			30	[]	1
737	Nukini	back [of body]	puʃi	pɨʃi	p ɨ + tʃ i			30	[]	1
738	Poyanawa	back [of body]	pɨti	pɨti	p ɨ + t i			30	[]	1
739	Iskonawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
740	Iskonawa	back [of body]	katɨ	katɨ	k a + t ɨ			32	[]	1
741	Chakobo	back [of body]	katɨ	katɨ	k a + t ɨ			32	[]	1
742	Kakataibo	back [of body]	kaʂo	kaʂo	k a + ʂ o			32	[]	1
743	Kaxarari	back [of body]	katapu	katapu	k a + t a p u			32	[]	1
744	Mastanawa	back [of body]	piʧi	piʧi	p i + tʃ i			30	[]	1
745	Chaninawa	back [of body]	pɨʂaβati	pɨʂaβati	p ɨ + ʂ a β a t i			30	[]	1
746	Sharanawa	back [of body]	pɨmiti	pɨmiti	p ɨ + m i t i			30	[]	1
747	Amawaka	back [of body]	katɨ	katɨ	k a + t ɨ			32	[]	1
748	Nawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
749	Marinawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
750	Yaminawa	back [of body]	piʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
751	Kashinawa_P	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
752	Araona	back [of body]	bebakʷa	bebakʷa	b e b a kʷ a			31	[]	1
753	Araona	back [of body]	besese	besese	b e s e s e			31	[]	1
3803	Matses	bad	iksa	iksa	i k s a			1550	[]	1
3804	Matis	bad	iksama	iksama	i k s a + m a			1550	[]	1
3805	Marubo	bad	iʃna	iʃna	i ʃ n a			46	[]	1
3806	Shipibo_Konibo	bad	hakun-ma	hakunma	h a k u n + m a			41	[]	1
3807	Kapanawa	bad	tiruma	iruma	i r u + m a			33	[]	1
3808	Kapanawa	bad	hakunma	hakunma	h a k u n + m a			41	[]	1
3809	Shanenawa	bad	ʂarama	ʃarama	ʃ a r a + m a			37	[]	1
3810	Yawanawa	bad	tʃaka	tʃaka	tʃ a k a			38	[]	1
3811	Nukini	bad	iruma	iruma	i r u + m a			33	[]	1
3812	Poyanawa	bad	irumba	irumba	i r u + ⁿb a			33	[]	1
3813	Iskonawa	bad	miʧa	miʧa	m i tʃ a			1551	[]	1
3814	Iskonawa	bad	iruma	iruma	i r u + m a			33	[]	1
3815	Chakobo	bad	kaʂaʂɨni	kaʂaʂɨni	k a ʂ a ʂ ɨ n i			43	[]	1
3816	Kakataibo	bad	aisama	aisama	a i + s a + m a			39	[]	1
3817	Kaxarari	bad	tsɨwɨma	tsɨwɨma	ts ɨ w ɨ + m a			35	[]	1
3818	Mastanawa	bad	ʧaʔa	ʧaʔa	tʃ a ʔ a			38	[]	1
3819	Chaninawa	bad	t͡ʃaka	t͡ʃaka	tʃ a k a			38	[]	1
3820	Sharanawa	bad	t͡ʃaka	t͡ʃaka	tʃ a k a			38	[]	1
3821	Amawaka	bad	iɾuma	iɾuma	i ɾ u + m a			33	[]	1
3822	Nawa	bad	ʧaka	ʧaka	tʃ a k a			38	[]	1
3823	Marinawa	bad	ʧaka	ʧaka	tʃ a k a			38	[]	1
3824	Yaminawa	bad	ʧaʔa	ʧaʔa	tʃ a ʔ a			38	[]	1
3825	Kashinawa_P	bad	ʧakaβu	ʧakaβu	tʃ a k a + β u			38	[]	1
3826	Kashinawa_B	bad	tʃakaβu	tʃakaβu	tʃ a k a + β u			38	[]	1
3827	Araona	bad	shili 'ser malo'	shili 'ser malo'	ʃ i l i + s e r + m a l o ʔ			44	[]	1
3828	Araona	bad	masawe	masawe	m a s a w e			45	[]	1
1227	Matses	bark [of tree]	βitsi	βitsi	β i ts i			49	[]	1
1228	Matis	bark [of tree]	βidtsi	βidtsi	β i ts i			49	[]	1
1229	Marubo	bark [of tree]	ʂaka	ʂaka	ʂ a k a			48	[]	1
1230	Shipibo_Konibo	bark [of tree]	ʂaka	ʂaka	ʂ a k a			48	[]	1
1231	Shipibo_Konibo	bark [of tree]	βitʃi	βitʃi	β i tʃ i			49	[]	1
1232	Kapanawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a			48	[]	1
1233	Shanenawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a			48	[]	1
1234	Nukini	bark [of tree]	haka	haka	h a k a			48	[]	1
1235	Poyanawa	bark [of tree]	haka	haka	h a k a			48	[]	1
1236	Iskonawa	bark [of tree]	βiʧi	βiʧi	β i tʃ i			49	[]	1
1237	Iskonawa	bark [of tree]	haka	haka	h a k a			48	[]	1
1238	Chakobo	bark [of tree]	ʂakata	ʂakata	ʂ a k a t a			48	[]	1
1239	Chakobo	bark [of tree]	βitʃi	βitʃi	β i tʃ i			49	[]	1
1240	Kakataibo	bark [of tree]	ʂaka	ʂaka	ʂ a k a			48	[]	1
1241	Mastanawa	bark [of tree]	hɨpu	hɨpu	h ɨ p u			51	[]	1
1242	Chaninawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a			48	[]	1
1243	Sharanawa	bark [of tree]	pɨɸit͡ʃi	pɨɸit͡ʃi	p ɨ + ɸ i tʃ i			1552	[]	1
1244	Amawaka	bark [of tree]	çaka	çaka	ç a k a			48	[]	1
1245	Nawa	bark [of tree]	diditi	diditi	d i d i + t i			50	[]	1
1246	Marinawa	bark [of tree]	pɨsi	pɨsi	p ɨ s i			52	[]	1
1247	Yaminawa	bark [of tree]	ɸiʧi	ɸiʧi	ɸ i tʃ i			49	[]	1
1248	Kashinawa_P	bark [of tree]	ʂaka	ʂaka	ʂ a k a			48	[]	1
1249	Kashinawa_B	bark [of tree]	ʂaka	ʂaka	ʂ a k a			48	[]	1
1250	Araona	bark [of tree]	biki	biki	b i k i			49	[]	1
702	Matses	belly	puku	puku	p u k u			54	[]	1
703	Matis	belly	puku	puku	p u k u			54	[]	1
704	Marubo	belly	pustu	pustu	p u s t u			1553	[]	1
705	Katukina	belly	pustu	pustu	p u s t u			1553	[]	1
706	Kanamari	belly	posto	posto	p o s t o			1553	[]	1
707	Shipibo_Konibo	belly	puku	puku	p u k u			54	[]	1
708	Kapanawa	belly	puku	puku	p u k u			54	[]	1
709	Shanenawa	belly	pustu	pustu	p u s t u			1553	[]	1
710	Yawanawa	belly	pustu	pustu	p u s t u			1553	[]	1
711	Nukini	belly	naβa	naβa	n a β a			55	[]	1
712	Nukini	belly	puhtu	puhtu	p u h t u			1553	[]	1
713	Poyanawa	belly	dahβa	dahβa	d a h β a			55	[]	1
714	Iskonawa	belly	nahβa	nahβa	n a h β a			55	[]	1
715	Chakobo	belly	takɨpɨ	takɨpɨ	t a k ɨ p ɨ			58	[]	1
716	Pakawara	belly	puku	puku	p u k u			54	[]	1
717	Kakataibo	belly	puku	puku	p u k u			54	[]	1
718	Kaxarari	belly	turu	turu	t u r u			60	[]	1
719	Mastanawa	belly	ʂaʔi	ʂaʔi	ʂ a ʔ i			61	[]	1
720	Chaninawa	belly	pusto	pusto	p u s t u			1553	[]	1
721	Sharanawa	belly	namɨn	namɨn	n a m ɨ n			62	[]	1
722	Amawaka	belly	puku	puku	p u k u			54	[]	1
723	Nawa	belly	atu	atu	a t u			1554	[]	1
724	Marinawa	belly	pustu	pustu	p u s t u			1553	[]	1
725	Yaminawa	belly	pustu	pustu	p u s t u			1553	[]	1
726	Kashinawa_P	belly	pustu	pustu	p u s t u			1553	[]	1
727	Kashinawa_B	belly	pustu	pustu	p u s t u			1553	[]	1
728	Araona	belly	ese	ese	e s e			56	[]	1
3957	Matses	big	nua	nua	n u a			66	[]	1
3958	Matis	big	noa	noa	n o a			66	[]	1
3959	Marubo	big	ani	ani	a n i			64	[]	1
3960	Katukina	big	ani-pa	anipa	a n i p a			64	[]	1
3961	Shipibo_Konibo	big	ani	ani	a n i			64	[]	1
3962	Kapanawa	big	ani	ani	a n i			64	[]	1
3963	Shanenawa	big	ɨwapa	ɨwapa	ɨ w a p a			63	[]	1
3964	Yawanawa	big	iwapa	iwapa	i w a p a			63	[]	1
3965	Nukini	big	rɨpa	rɨpa	r ɨ p a			1555	[]	1
3966	Poyanawa	big	hukumba	hukumba	h u k u m b a			70	[]	1
3967	Iskonawa	big	mihira	mihira	m i h i r a			73	[]	1
3968	Chakobo	big	tʃa?ita	tʃaʔita	tʃ a ʔ i t a			67	[]	1
3969	Kakataibo	big	tʃa	tʃa	tʃ a			72	[]	1
3970	Kaxarari	big	laki	laki	l a k i			71	[]	1
3971	Mastanawa	big	ɨwapa	ɨwapa	ɨ w a p a			63	[]	1
3972	Chaninawa	big	iwapa	iwapa	i w a p a			63	[]	1
3973	Sharanawa	big	ɨwapa	ɨwapa	ɨ w a p a			63	[]	1
3974	Amawaka	big	tuʔa	tuʔa	t u ʔ a			67	[]	1
3975	Nawa	big	ɨwapa	ɨwapa	ɨ w a p a			63	[]	1
3976	Marinawa	big	ɨwapa	ɨwapa	ɨ w a p a			63	[]	1
3977	Yaminawa	big	ɨwapa	ɨwapa	ɨ w a p a			63	[]	1
3978	Kashinawa_P	big	ɨwapa	ɨwapa	ɨ w a p a			63	[]	1
3979	Kashinawa_B	big	iwapa	iwapa	i w a p a			63	[]	1
