Tradition,C14Age,SD,Latitude,Longitude,Site
Cumancaya,1495,115,-9.36,-74.44,Shahuaya
Cumancaya,1249,51,-10.36,-74.96,Naneini
Cumancaya,1120,100,-9.36,-74.44,Sonochenea
Cumancaya,1140,80,-8.8593,-74.3136,Caimito
Caimito,575,105,-8.85,-74.3136,TAM-2
Caimito,630,60,-8.8548,-74.2737,TAM-1
Pacacocha,1860,110,-8.15,-74.39,Jose's Hill
Pacacocha,1180,105,-8.14,-74.41,Nueva Esperanza
Cumancaya,670,120,-7.833,-74.25,Contamanilla
